channel,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,15001
11,19841
12,17558
13,15551
14,14096
15,12537
16,11613
17,10539
18,9852
19,9176
20,8512
21,8173
22,7519
23,7158
24,6719
25,6368
26,5928
27,5717
28,5342
29,5156
30,4931
31,4717
32,4511
33,4240
34,3891
35,3715
36,3533
37,3239
38,2929
39,2819
40,2420
41,2399
42,2166
43,2061
44,1867
45,1704
46,1585
47,1438
48,1384
49,1289
50,1186
51,1011
52,1003
53,949
54,854
55,770
56,768
57,658
58,590
59,559
60,563
61,497
62,447
63,438
64,412
65,378
66,297
67,293
68,267
69,271
70,241
71,203
72,190
73,180
74,187
75,172
76,168
77,149
78,135
79,125
80,100
81,86
82,85
83,77
84,78
85,81
86,66
87,43
88,60
89,52
90,46
91,47
92,50
93,55
94,50
95,51
96,43
97,41
98,60
99,33
100,35
101,43
102,41
103,32
104,31
105,25
106,32
107,36
108,33
109,27
110,34
111,32
112,31
113,27
114,16
115,23
116,19
117,27
118,11
119,18
120,21
121,24
122,19
123,22
124,19
125,21
126,18
127,12
128,32
129,19
130,20
131,23
132,22
133,23
134,20
135,25
136,17
137,21
138,16
139,23
140,17
141,10
142,21
143,17
144,23
145,15
146,13
147,26
148,20
149,22
150,21
151,16
152,12
153,11
154,20
155,21
156,16
157,15
158,6
159,17
160,15
161,17
162,23
163,20
164,12
165,15
166,25
167,8
168,15
169,12
170,17
171,18
172,13
173,17
174,22
175,14
176,20
177,14
178,17
179,11
180,17
181,10
182,15
183,12
184,18
185,15
186,16
187,12
188,15
189,15
190,14
191,11
192,14
193,13
194,21
195,14
196,19
197,10
198,12
199,16
200,9
201,13
202,13
203,13
204,13
205,11
206,9
207,8
208,17
209,8
210,21
211,17
212,15
213,9
214,19
215,10
216,10
217,16
218,13
219,12
220,21
221,15
222,14
223,13
224,13
225,10
226,15
227,9
228,11
229,21
230,11
231,14
232,13
233,8
234,8
235,10
236,16
237,14
238,12
239,16
240,14
241,14
242,18
243,15
244,21
245,7
246,14
247,12
248,14
249,12
250,10
251,16
252,10
253,5
254,10
255,11
256,20
257,14
258,9
259,9
260,12
261,13
262,15
263,12
264,16
265,14
266,23
267,14
268,13
269,10
270,15
271,18
272,15
273,10
274,10
275,10
276,19
277,21
278,16
279,16
280,16
281,18
282,21
283,16
284,18
285,9
286,29
287,22
288,21
289,14
290,22
291,22
292,16
293,22
294,22
295,24
296,21
297,15
298,21
299,19
300,18
301,23
302,13
303,19
304,17
305,19
306,23
307,19
308,24
309,15
310,17
311,12
312,19
313,27
314,18
315,25
316,25
317,29
318,28
319,21
320,33
321,19
322,28
323,36
324,26
325,23
326,23
327,31
328,17
329,21
330,26
331,24
332,25
333,31
334,24
335,26
336,19
337,27
338,38
339,33
340,29
341,32
342,29
343,34
344,43
345,36
346,30
347,32
348,40
349,42
350,38
351,49
352,45
353,49
354,44
355,61
356,47
357,54
358,76
359,80
360,79
361,104
362,77
363,103
364,117
365,145
366,173
367,163
368,184
369,212
370,209
371,218
372,236
373,255
374,208
375,279
376,269
377,307
378,278
379,276
380,292
381,318
382,341
383,358
384,356
385,407
386,352
387,385
388,399
389,402
390,435
391,430
392,335
393,322
394,305
395,242
396,198
397,157
398,106
399,63
400,36
401,22
402,19
403,9
404,2
405,4
406,3
407,0
408,1
409,0
410,2
411,0
412,1
413,0
414,1
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,1
425,1
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,1
436,0
437,0
438,0
439,1
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,1
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,1
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,1
474,0
475,1
476,0
477,0
478,0
479,0
480,0
481,1
482,0
483,0
484,0
485,2
486,0
487,0
488,1
489,0
490,0
491,1
492,0
493,1
494,0
495,0
496,0
497,0
498,1
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
