channel,counts
0,147072
1,15
2,11
3,6
4,3
5,14682
6,19594
7,15401
8,10912
9,8267
10,7067
11,6189
12,5350
13,4888
14,4396
15,4023
16,3746
17,3551
18,3237
19,2946
20,2827
21,2579
22,2460
23,2313
24,2226
25,1992
26,1922
27,1869
28,1759
29,1638
30,1595
31,1416
32,1380
33,1214
34,1136
35,1092
36,980
37,895
38,811
39,721
40,671
41,601
42,550
43,482
44,526
45,408
46,385
47,338
48,321
49,279
50,289
51,241
52,206
53,204
54,171
55,173
56,152
57,118
58,150
59,116
60,115
61,86
62,83
63,84
64,72
65,61
66,86
67,51
68,49
69,48
70,41
71,41
72,28
73,29
74,31
75,25
76,15
77,13
78,18
79,23
80,13
81,7
82,12
83,15
84,11
85,9
86,7
87,9
88,7
89,3
90,7
91,3
92,3
93,6
94,5
95,7
96,4
97,6
98,3
99,4
100,0
101,5
102,1
103,1
104,2
105,0
106,1
107,1
108,2
109,2
110,2
111,0
112,0
113,2
114,2
115,0
116,3
117,0
118,0
119,0
120,0
121,1
122,0
123,1
124,0
125,0
126,0
127,0
128,0
129,2
130,0
131,2
132,0
133,0
134,0
135,1
136,0
137,0
138,0
139,1
140,0
141,0
142,0
143,2
144,1
145,0
146,0
147,2
148,1
149,0
150,1
151,0
152,1
153,0
154,0
155,1
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,1
173,0
174,0
175,0
176,1
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,1
192,2
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,1
208,0
209,1
210,0
211,1
212,1
213,1
214,0
215,0
216,0
217,0
218,0
219,0
220,2
221,0
222,1
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,1
233,1
234,1
235,0
236,0
237,0
238,0
239,0
240,1
241,0
242,1
243,0
244,0
245,0
246,2
247,1
248,0
249,0
250,0
251,1
252,0
253,0
254,0
255,0
256,1
257,0
258,0
259,0
260,1
261,1
262,0
263,1
264,0
265,0
266,0
267,0
268,1
269,0
270,0
271,2
272,0
273,0
274,2
275,1
276,0
277,2
278,0
279,0
280,0
281,3
282,0
283,0
284,2
285,0
286,1
287,2
288,0
289,0
290,0
291,0
292,1
293,0
294,3
295,0
296,1
297,0
298,1
299,0
300,1
301,0
302,1
303,0
304,2
305,0
306,0
307,1
308,1
309,1
310,0
311,2
312,1
313,1
314,0
315,3
316,2
317,0
318,0
319,0
320,3
321,4
322,6
323,3
324,2
325,4
326,7
327,10
328,8
329,8
330,3
331,9
332,8
333,10
334,7
335,15
336,10
337,14
338,16
339,13
340,16
341,14
342,21
343,16
344,9
345,9
346,10
347,11
348,10
349,8
350,2
351,9
352,0
353,3
354,2
355,3
356,4
357,3
358,2
359,3
360,1
361,1
362,2
363,1
364,1
365,2
366,0
367,1
368,1
369,2
370,1
371,0
372,2
373,1
374,0
375,0
376,3
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,2
385,1
386,1
387,0
388,0
389,1
390,0
391,0
392,0
393,1
394,0
395,1
396,1
397,0
398,0
399,1
400,1
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,1
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,1
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,1
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,1
438,1
439,2
440,1
441,0
442,0
443,1
444,1
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,1
454,0
455,0
456,0
457,0
458,1
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,1
468,1
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,1
477,1
478,0
479,0
480,0
481,0
482,1
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,1
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
