channel,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1533
11,1947
12,1791
13,1683
14,1537
15,1379
16,1311
17,1193
18,1132
19,1041
20,996
21,971
22,819
23,831
24,794
25,711
26,727
27,656
28,639
29,594
30,559
31,552
32,498
33,479
34,447
35,425
36,393
37,335
38,347
39,291
40,294
41,268
42,244
43,229
44,201
45,205
46,170
47,149
48,130
49,134
50,136
51,111
52,112
53,98
54,96
55,73
56,75
57,72
58,60
59,53
60,57
61,59
62,42
63,35
64,36
65,42
66,30
67,18
68,25
69,20
70,26
71,23
72,24
73,17
74,17
75,14
76,18
77,11
78,15
79,10
80,12
81,9
82,7
83,7
84,4
85,7
86,10
87,3
88,2
89,2
90,2
91,5
92,7
93,2
94,0
95,4
96,5
97,1
98,1
99,0
100,3
101,1
102,2
103,2
104,1
105,0
106,3
107,1
108,1
109,1
110,2
111,1
112,2
113,1
114,0
115,1
116,1
117,1
118,0
119,0
120,0
121,0
122,1
123,1
124,1
125,0
126,0
127,0
128,1
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,1
139,1
140,2
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,1
155,0
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,1
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,1
177,0
178,0
179,0
180,0
181,0
182,0
183,1
184,0
185,1
186,0
187,0
188,2
189,0
190,0
191,0
192,0
193,0
194,0
195,1
196,0
197,0
198,0
199,0
200,0
201,1
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,1
238,0
239,0
240,0
241,1
242,0
243,0
244,1
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,1
283,0
284,0
285,0
286,0
287,0
288,0
289,1
290,0
291,0
292,0
293,0
294,0
295,1
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,1
306,1
307,1
308,0
309,0
310,0
311,1
312,0
313,1
314,0
315,0
316,1
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,3
332,0
333,0
334,1
335,0
336,0
337,0
338,1
339,0
340,0
341,0
342,0
343,1
344,0
345,0
346,0
347,1
348,2
349,0
350,1
351,3
352,1
353,1
354,0
355,1
356,0
357,2
358,0
359,4
360,1
361,1
362,0
363,0
364,2
365,1
366,0
367,0
368,0
369,1
370,0
371,1
372,2
373,6
374,1
375,4
376,3
377,3
378,3
379,4
380,4
381,3
382,7
383,6
384,3
385,3
386,5
387,2
388,6
389,2
390,2
391,9
392,3
393,3
394,5
395,2
396,1
397,2
398,2
399,3
400,1
401,1
402,0
403,1
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
