channel,counts
0,1048485
1,606
2,156
3,91
4,90
5,131674
6,139019
7,93500
8,73359
9,61764
10,52856
11,46337
12,41313
13,37764
14,34002
15,30567
16,28258
17,25649
18,23989
19,21702
20,20257
21,19203
22,17249
23,15645
24,14023
25,12389
26,11005
27,9929
28,8853
29,7786
30,6945
31,6299
32,5643
33,4815
34,4321
35,3844
36,3461
37,3022
38,2564
39,2410
40,2105
41,1887
42,1632
43,1425
44,1273
45,1121
46,966
47,848
48,703
49,703
50,604
51,507
52,459
53,426
54,358
55,290
56,286
57,256
58,199
59,200
60,164
61,164
62,145
63,117
64,112
65,93
66,101
67,91
68,74
69,81
70,76
71,66
72,36
73,42
74,55
75,41
76,38
77,33
78,45
79,40
80,35
81,49
82,32
83,28
84,38
85,29
86,22
87,26
88,23
89,24
90,23
91,24
92,23
93,21
94,27
95,22
96,25
97,21
98,25
99,22
100,29
101,17
102,18
103,22
104,16
105,27
106,18
107,19
108,24
109,18
110,21
111,16
112,22
113,21
114,17
115,24
116,24
117,20
118,30
119,14
120,21
121,22
122,24
123,25
124,31
125,16
126,24
127,19
128,13
129,19
130,21
131,17
132,21
133,12
134,13
135,9
136,19
137,14
138,12
139,20
140,18
141,13
142,12
143,9
144,13
145,18
146,16
147,14
148,16
149,21
150,13
151,6
152,19
153,15
154,15
155,13
156,11
157,13
158,17
159,7
160,13
161,18
162,16
163,10
164,9
165,16
166,16
167,19
168,3
169,12
170,14
171,10
172,16
173,16
174,10
175,7
176,21
177,20
178,10
179,17
180,16
181,11
182,16
183,19
184,25
185,18
186,17
187,21
188,24
189,18
190,14
191,22
192,15
193,22
194,25
195,21
196,14
197,21
198,22
199,11
200,18
201,22
202,26
203,21
204,23
205,24
206,16
207,22
208,20
209,17
210,18
211,23
212,9
213,23
214,28
215,33
216,18
217,31
218,30
219,15
220,29
221,32
222,22
223,31
224,34
225,45
226,43
227,65
228,94
229,125
230,150
231,163
232,226
233,257
234,301
235,354
236,380
237,511
238,506
239,580
240,625
241,668
242,645
243,628
244,583
245,579
246,544
247,493
248,429
249,338
250,289
251,197
252,148
253,112
254,102
255,80
256,88
257,68
258,81
259,58
260,53
261,61
262,58
263,44
264,45
265,56
266,26
267,37
268,30
269,19
270,22
271,23
272,17
273,15
274,25
275,18
276,9
277,11
278,11
279,18
280,16
281,15
282,11
283,7
284,8
285,14
286,9
287,11
288,14
289,11
290,14
291,12
292,8
293,11
294,8
295,11
296,8
297,17
298,9
299,13
300,11
301,10
302,10
303,13
304,10
305,13
306,15
307,11
308,13
309,19
310,12
311,12
312,11
313,9
314,8
315,11
316,8
317,10
318,8
319,14
320,15
321,15
322,11
323,14
324,16
325,14
326,9
327,9
328,5
329,14
330,6
331,11
332,7
333,9
334,8
335,13
336,6
337,9
338,11
339,11
340,4
341,10
342,12
343,13
344,13
345,14
346,9
347,8
348,5
349,11
350,15
351,13
352,14
353,5
354,11
355,8
356,10
357,5
358,10
359,8
360,5
361,6
362,0
363,6
364,6
365,3
366,0
367,3
368,3
369,3
370,0
371,2
372,1
373,1
374,1
375,1
376,1
377,0
378,1
379,1
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,1
389,1
390,1
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,1
403,0
404,2
405,0
406,1
407,0
408,0
409,1
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,1
418,0
419,0
420,0
421,0
422,0
423,1
424,0
425,0
426,0
427,0
428,1
429,2
430,0
431,0
432,0
433,0
434,0
435,0
436,1
437,0
438,0
439,0
440,1
441,1
442,0
443,0
444,0
445,0
446,2
447,0
448,1
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,1
464,0
465,0
466,0
467,0
468,2
469,0
470,0
471,2
472,0
473,0
474,0
475,0
476,0
477,2
478,1
479,1
480,0
481,0
482,1
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,1
493,0
494,1
495,0
496,0
497,1
498,0
499,0
500,0
501,1
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
