channel,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,8894
11,11725
12,10507
13,9686
14,8634
15,7762
16,7159
17,6706
18,6313
19,5969
20,5428
21,5241
22,4949
23,4655
24,4339
25,4321
26,3841
27,3781
28,3601
29,3374
30,3193
31,3026
32,2956
33,2859
34,2604
35,2546
36,2337
37,2215
38,2046
39,1896
40,1759
41,1586
42,1567
43,1435
44,1264
45,1243
46,1190
47,1032
48,1017
49,890
50,877
51,851
52,831
53,722
54,702
55,648
56,613
57,548
58,529
59,485
60,462
61,418
62,460
63,421
64,386
65,387
66,366
67,328
68,324
69,336
70,301
71,279
72,278
73,248
74,235
75,238
76,241
77,222
78,239
79,224
80,222
81,222
82,175
83,187
84,193
85,204
86,173
87,180
88,154
89,163
90,170
91,153
92,131
93,134
94,131
95,144
96,138
97,137
98,143
99,150
100,144
101,145
102,130
103,153
104,105
105,137
106,112
107,121
108,138
109,111
110,133
111,125
112,121
113,115
114,131
115,113
116,109
117,101
118,114
119,111
120,109
121,117
122,121
123,114
124,85
125,127
126,120
127,94
128,99
129,97
130,107
131,84
132,93
133,111
134,88
135,95
136,117
137,94
138,90
139,92
140,101
141,79
142,86
143,84
144,98
145,108
146,77
147,84
148,79
149,101
150,89
151,75
152,87
153,82
154,92
155,93
156,88
157,62
158,86
159,79
160,90
161,89
162,77
163,76
164,81
165,73
166,75
167,102
168,67
169,67
170,82
171,72
172,82
173,88
174,75
175,72
176,91
177,74
178,75
179,66
180,71
181,83
182,81
183,80
184,75
185,66
186,74
187,78
188,80
189,70
190,70
191,67
192,69
193,74
194,83
195,75
196,68
197,52
198,66
199,75
200,74
201,84
202,65
203,76
204,60
205,67
206,59
207,63
208,61
209,64
210,65
211,53
212,79
213,76
214,66
215,58
216,63
217,60
218,66
219,59
220,69
221,59
222,60
223,62
224,69
225,55
226,73
227,60
228,38
229,63
230,68
231,52
232,75
233,59
234,63
235,69
236,61
237,54
238,75
239,65
240,65
241,36
242,55
243,42
244,66
245,56
246,56
247,44
248,56
249,54
250,62
251,54
252,60
253,55
254,79
255,53
256,66
257,54
258,56
259,58
260,46
261,51
262,43
263,53
264,41
265,45
266,52
267,57
268,52
269,48
270,51
271,54
272,54
273,47
274,52
275,46
276,52
277,43
278,62
279,52
280,50
281,53
282,56
283,53
284,55
285,47
286,50
287,49
288,45
289,55
290,52
291,59
292,49
293,45
294,46
295,47
296,49
297,61
298,47
299,50
300,44
301,57
302,42
303,54
304,39
305,50
306,52
307,50
308,55
309,36
310,57
311,47
312,59
313,48
314,57
315,42
316,46
317,47
318,45
319,43
320,51
321,56
322,38
323,45
324,45
325,51
326,55
327,44
328,46
329,52
330,41
331,51
332,48
333,33
334,38
335,42
336,38
337,53
338,55
339,47
340,48
341,34
342,54
343,44
344,46
345,52
346,50
347,38
348,54
349,44
350,52
351,38
352,46
353,56
354,45
355,52
356,37
357,64
358,41
359,40
360,47
361,47
362,38
363,53
364,53
365,50
366,65
367,52
368,45
369,54
370,70
371,45
372,41
373,73
374,78
375,68
376,79
377,67
378,81
379,83
380,75
381,79
382,72
383,79
384,94
385,80
386,93
387,99
388,91
389,78
390,94
391,87
392,113
393,106
394,115
395,108
396,120
397,101
398,102
399,86
400,91
401,71
402,69
403,68
404,50
405,63
406,61
407,33
408,37
409,32
410,43
411,30
412,30
413,32
414,25
415,22
416,29
417,32
418,28
419,32
420,30
421,30
422,38
423,27
424,39
425,36
426,22
427,33
428,39
429,35
430,26
431,27
432,31
433,34
434,31
435,36
436,29
437,37
438,35
439,27
440,27
441,24
442,26
443,27
444,35
445,35
446,20
447,32
448,31
449,34
450,23
451,31
452,34
453,36
454,34
455,27
456,24
457,15
458,31
459,36
460,26
461,26
462,32
463,30
464,26
465,37
466,31
467,31
468,25
469,33
470,24
471,26
472,18
473,31
474,26
475,29
476,27
477,37
478,26
479,34
480,32
481,27
482,41
483,25
484,21
485,30
486,17
487,33
488,25
489,37
490,31
491,35
492,34
493,21
494,21
495,26
496,29
497,28
498,17
499,27
500,31
501,26
502,20
503,27
504,25
505,37
506,31
507,18
508,24
509,16
510,34
511,28
