channel,counts
0,1719691
1,151
2,79
3,72
4,36
5,180156
6,251265
7,195488
8,132975
9,95796
10,76821
11,65141
12,57061
13,50590
14,45286
15,41462
16,37508
17,34985
18,31807
19,30115
20,28290
21,26038
22,24331
23,22772
24,21527
25,20212
26,19264
27,17900
28,17170
29,16355
30,15165
31,14264
32,13164
33,12049
34,11068
35,10133
36,9351
37,8659
38,7844
39,7287
40,6671
41,5983
42,5518
43,5017
44,4572
45,4186
46,3976
47,3545
48,3271
49,2983
50,2757
51,2577
52,2201
53,2048
54,1920
55,1729
56,1574
57,1390
58,1309
59,1203
60,1082
61,987
62,842
63,826
64,714
65,640
66,593
67,578
68,513
69,463
70,425
71,388
72,347
73,286
74,299
75,265
76,246
77,194
78,213
79,190
80,168
81,152
82,159
83,145
84,136
85,149
86,119
87,129
88,127
89,124
90,111
91,112
92,103
93,100
94,90
95,86
96,79
97,103
98,90
99,81
100,75
101,77
102,69
103,64
104,85
105,62
106,49
107,55
108,62
109,66
110,67
111,53
112,48
113,43
114,56
115,58
116,56
117,60
118,54
119,45
120,55
121,61
122,54
123,59
124,55
125,51
126,52
127,51
128,48
129,53
130,47
131,38
132,44
133,41
134,50
135,47
136,48
137,35
138,68
139,40
140,45
141,51
142,46
143,39
144,51
145,46
146,52
147,48
148,48
149,57
150,34
151,41
152,44
153,39
154,44
155,43
156,45
157,46
158,35
159,46
160,47
161,38
162,42
163,39
164,49
165,37
166,29
167,35
168,43
169,43
170,36
171,48
172,34
173,35
174,47
175,42
176,32
177,31
178,35
179,40
180,32
181,47
182,37
183,31
184,43
185,31
186,37
187,25
188,28
189,39
190,48
191,46
192,36
193,36
194,36
195,31
196,41
197,43
198,30
199,27
200,33
201,22
202,30
203,36
204,32
205,44
206,39
207,26
208,23
209,28
210,26
211,20
212,27
213,29
214,28
215,28
216,27
217,23
218,38
219,29
220,26
221,27
222,26
223,32
224,29
225,36
226,21
227,36
228,18
229,25
230,31
231,34
232,24
233,26
234,25
235,20
236,34
237,26
238,27
239,17
240,28
241,30
242,23
243,36
244,31
245,21
246,30
247,35
248,25
249,15
250,26
251,30
252,31
253,31
254,35
255,34
256,37
257,37
258,24
259,36
260,39
261,33
262,45
263,39
264,51
265,39
266,45
267,49
268,50
269,49
270,55
271,44
272,47
273,40
274,33
275,45
276,36
277,53
278,32
279,43
280,58
281,44
282,44
283,45
284,43
285,47
286,53
287,52
288,40
289,60
290,53
291,41
292,43
293,51
294,57
295,50
296,37
297,43
298,55
299,57
300,46
301,41
302,51
303,42
304,46
305,46
306,53
307,46
308,55
309,49
310,57
311,55
312,54
313,54
314,56
315,87
316,110
317,80
318,108
319,130
320,145
321,157
322,182
323,252
324,288
325,328
326,339
327,403
328,489
329,584
330,634
331,728
332,793
333,826
334,892
335,964
336,1072
337,1120
338,1161
339,1257
340,1355
341,1359
342,1320
343,1360
344,1334
345,1265
346,1159
347,1078
348,1133
349,1072
350,1001
351,776
352,616
353,579
354,456
355,364
356,273
357,239
358,192
359,196
360,151
361,167
362,160
363,143
364,136
365,152
366,121
367,121
368,114
369,91
370,108
371,93
372,89
373,87
374,85
375,66
376,82
377,62
378,65
379,50
380,48
381,48
382,50
383,47
384,42
385,34
386,34
387,46
388,24
389,24
390,26
391,26
392,39
393,21
394,33
395,19
396,23
397,22
398,22
399,27
400,19
401,22
402,17
403,20
404,24
405,20
406,23
407,26
408,18
409,30
410,20
411,22
412,22
413,23
414,29
415,17
416,14
417,23
418,16
419,16
420,21
421,16
422,21
423,27
424,21
425,28
426,20
427,19
428,25
429,22
430,23
431,31
432,26
433,23
434,11
435,20
436,12
437,20
438,22
439,19
440,30
441,18
442,24
443,17
444,19
445,22
446,22
447,21
448,33
449,27
450,29
451,20
452,26
453,21
454,21
455,17
456,18
457,18
458,24
459,23
460,25
461,22
462,21
463,25
464,18
465,19
466,22
467,21
468,14
469,21
470,19
471,26
472,17
473,18
474,19
475,30
476,17
477,29
478,25
479,20
480,21
481,29
482,24
483,21
484,14
485,22
486,11
487,17
488,27
489,17
490,16
491,18
492,18
493,29
494,22
495,16
496,17
497,17
498,16
499,21
500,18
501,9
502,15
503,17
504,18
505,14
506,9
507,14
508,12
509,17
510,8
511,5
