channel,counts
0,314400
1,29
2,8
3,12
4,7
5,20753
6,35030
7,34750
8,27291
9,19926
10,15136
11,12622
12,11239
13,9632
14,8796
15,7856
16,7397
17,6888
18,6206
19,5872
20,5535
21,5308
22,4993
23,4523
24,4319
25,4174
26,3924
27,3752
28,3565
29,3480
30,3274
31,3095
32,2942
33,2736
34,2723
35,2498
36,2317
37,2157
38,1947
39,1892
40,1719
41,1629
42,1493
43,1452
44,1254
45,1246
46,1082
47,1033
48,999
49,879
50,787
51,805
52,698
53,592
54,619
55,579
56,489
57,489
58,475
59,388
60,388
61,375
62,351
63,317
64,261
65,276
66,228
67,202
68,185
69,189
70,159
71,144
72,159
73,146
74,123
75,103
76,104
77,80
78,88
79,82
80,74
81,62
82,70
83,58
84,61
85,42
86,40
87,37
88,36
89,29
90,35
91,21
92,29
93,30
94,17
95,23
96,19
97,26
98,24
99,22
100,12
101,13
102,8
103,8
104,11
105,9
106,14
107,10
108,11
109,14
110,11
111,4
112,6
113,3
114,4
115,5
116,3
117,6
118,7
119,4
120,7
121,4
122,4
123,3
124,0
125,3
126,7
127,2
128,0
129,3
130,1
131,2
132,3
133,1
134,2
135,0
136,2
137,1
138,2
139,0
140,3
141,1
142,1
143,1
144,4
145,0
146,1
147,3
148,2
149,1
150,0
151,2
152,2
153,0
154,2
155,1
156,2
157,3
158,0
159,1
160,1
161,2
162,1
163,0
164,1
165,1
166,1
167,1
168,2
169,2
170,2
171,0
172,3
173,2
174,2
175,0
176,0
177,1
178,1
179,0
180,0
181,2
182,2
183,1
184,2
185,2
186,2
187,0
188,4
189,0
190,2
191,0
192,1
193,2
194,3
195,2
196,2
197,2
198,1
199,3
200,1
201,3
202,0
203,1
204,1
205,0
206,2
207,0
208,1
209,1
210,1
211,3
212,0
213,3
214,3
215,1
216,0
217,0
218,2
219,0
220,1
221,3
222,0
223,3
224,0
225,1
226,0
227,1
228,1
229,0
230,0
231,0
232,0
233,2
234,1
235,0
236,1
237,1
238,1
239,5
240,1
241,1
242,0
243,2
244,1
245,0
246,0
247,0
248,2
249,1
250,0
251,3
252,1
253,0
254,0
255,0
256,3
257,0
258,2
259,1
260,2
261,1
262,0
263,2
264,2
265,2
266,3
267,0
268,0
269,0
270,0
271,0
272,0
273,1
274,0
275,0
276,1
277,0
278,0
279,3
280,5
281,1
282,0
283,2
284,2
285,2
286,1
287,0
288,2
289,1
290,0
291,0
292,0
293,1
294,1
295,0
296,0
297,1
298,1
299,1
300,0
301,3
302,3
303,3
304,0
305,2
306,3
307,1
308,1
309,0
310,1
311,0
312,1
313,0
314,2
315,0
316,1
317,1
318,2
319,2
320,2
321,2
322,2
323,2
324,2
325,1
326,2
327,2
328,3
329,1
330,1
331,0
332,0
333,1
334,0
335,3
336,6
337,1
338,2
339,4
340,1
341,5
342,2
343,3
344,1
345,2
346,0
347,3
348,4
349,2
350,2
351,0
352,1
353,3
354,2
355,1
356,0
357,1
358,2
359,3
360,5
361,5
362,4
363,5
364,3
365,5
366,10
367,6
368,6
369,9
370,8
371,12
372,10
373,8
374,14
375,13
376,10
377,15
378,13
379,16
380,25
381,27
382,28
383,25
384,26
385,29
386,37
387,36
388,27
389,31
390,32
391,37
392,25
393,22
394,29
395,28
396,40
397,30
398,32
399,21
400,24
401,21
402,14
403,16
404,12
405,14
406,14
407,11
408,12
409,1
410,6
411,5
412,4
413,3
414,4
415,3
416,3
417,5
418,3
419,4
420,4
421,2
422,1
423,3
424,3
425,4
426,0
427,2
428,1
429,0
430,1
431,0
432,0
433,2
434,1
435,2
436,0
437,0
438,0
439,2
440,1
441,0
442,0
443,1
444,0
445,1
446,1
447,3
448,2
449,0
450,1
451,0
452,0
453,1
454,1
455,3
456,0
457,1
458,0
459,0
460,0
461,0
462,0
463,1
464,0
465,1
466,2
467,2
468,0
469,1
470,1
471,0
472,1
473,0
474,0
475,0
476,1
477,1
478,1
479,0
480,1
481,0
482,0
483,1
484,0
485,0
486,1
487,2
488,1
489,0
490,0
491,2
492,1
493,0
494,1
495,0
496,0
497,2
498,1
499,1
500,0
501,1
502,0
503,0
504,2
505,1
506,1
507,0
508,0
509,0
510,1
511,1
