channel,counts
0,1013126
1,108
2,49
3,36
4,33
5,67614
6,109870
7,108814
8,85970
9,63851
10,48739
11,40505
12,35734
13,31790
14,28710
15,26279
16,24306
17,22470
18,20495
19,19319
20,18262
21,17245
22,16185
23,15582
24,14592
25,13734
26,13171
27,12339
28,11747
29,11232
30,10586
31,10282
32,9743
33,9203
34,8871
35,8320
36,7629
37,7213
38,6637
39,6339
40,5729
41,5472
42,4992
43,4753
44,4353
45,4122
46,3790
47,3508
48,3335
49,3077
50,2787
51,2521
52,2469
53,2152
54,2081
55,1881
56,1792
57,1632
58,1510
59,1408
60,1310
61,1195
62,1075
63,957
64,943
65,793
66,782
67,739
68,655
69,604
70,527
71,457
72,459
73,433
74,382
75,377
76,343
77,305
78,259
79,271
80,227
81,241
82,179
83,194
84,163
85,148
86,159
87,151
88,126
89,126
90,85
91,101
92,74
93,80
94,66
95,67
96,57
97,54
98,44
99,50
100,33
101,46
102,33
103,39
104,35
105,21
106,24
107,26
108,25
109,26
110,14
111,14
112,20
113,17
114,18
115,11
116,8
117,19
118,12
119,12
120,4
121,8
122,8
123,5
124,5
125,7
126,5
127,5
128,6
129,3
130,6
131,6
132,4
133,4
134,5
135,3
136,2
137,6
138,5
139,4
140,1
141,6
142,3
143,3
144,1
145,4
146,2
147,3
148,1
149,6
150,3
151,3
152,3
153,2
154,0
155,3
156,2
157,3
158,0
159,4
160,2
161,2
162,4
163,1
164,1
165,1
166,1
167,3
168,3
169,3
170,1
171,2
172,2
173,0
174,0
175,1
176,0
177,2
178,5
179,0
180,0
181,3
182,3
183,2
184,1
185,4
186,2
187,2
188,0
189,3
190,1
191,0
192,3
193,1
194,3
195,1
196,0
197,2
198,1
199,5
200,2
201,0
202,2
203,1
204,4
205,0
206,0
207,0
208,2
209,1
210,1
211,1
212,2
213,0
214,1
215,2
216,4
217,3
218,1
219,1
220,3
221,3
222,2
223,3
224,1
225,0
226,1
227,3
228,2
229,3
230,3
231,1
232,1
233,2
234,0
235,1
236,1
237,1
238,0
239,0
240,1
241,1
242,1
243,2
244,2
245,0
246,2
247,1
248,3
249,1
250,1
251,2
252,3
253,2
254,1
255,1
256,1
257,0
258,3
259,3
260,0
261,2
262,1
263,1
264,1
265,1
266,3
267,1
268,2
269,4
270,0
271,1
272,1
273,1
274,0
275,2
276,2
277,2
278,0
279,3
280,2
281,2
282,1
283,2
284,4
285,1
286,1
287,1
288,1
289,2
290,1
291,1
292,2
293,2
294,4
295,1
296,3
297,1
298,1
299,2
300,3
301,4
302,3
303,3
304,1
305,3
306,1
307,1
308,2
309,2
310,2
311,1
312,5
313,2
314,0
315,1
316,0
317,0
318,1
319,4
320,0
321,1
322,1
323,4
324,2
325,0
326,2
327,0
328,0
329,2
330,2
331,2
332,2
333,1
334,3
335,2
336,2
337,3
338,3
339,4
340,3
341,2
342,1
343,2
344,1
345,4
346,3
347,2
348,1
349,4
350,0
351,3
352,3
353,0
354,1
355,1
356,2
357,5
358,4
359,1
360,9
361,1
362,3
363,2
364,10
365,6
366,8
367,12
368,12
369,15
370,20
371,22
372,21
373,26
374,38
375,28
376,40
377,31
378,37
379,42
380,41
381,44
382,49
383,48
384,45
385,62
386,55
387,49
388,61
389,56
390,50
391,58
392,53
393,41
394,49
395,57
396,47
397,53
398,41
399,34
400,26
401,27
402,19
403,14
404,16
405,14
406,12
407,4
408,7
409,3
410,3
411,6
412,9
413,7
414,6
415,9
416,6
417,7
418,5
419,6
420,9
421,2
422,3
423,5
424,8
425,6
426,8
427,5
428,3
429,5
430,7
431,3
432,1
433,1
434,1
435,2
436,1
437,2
438,0
439,1
440,1
441,2
442,2
443,2
444,2
445,4
446,2
447,1
448,1
449,1
450,3
451,1
452,0
453,1
454,1
455,1
456,1
457,1
458,0
459,0
460,0
461,0
462,2
463,3
464,0
465,2
466,0
467,2
468,0
469,0
470,0
471,2
472,0
473,1
474,1
475,1
476,0
477,2
478,1
479,0
480,0
481,0
482,1
483,2
484,2
485,0
486,2
487,1
488,0
489,1
490,1
491,0
492,3
493,2
494,0
495,2
496,0
497,2
498,0
499,2
500,0
501,1
502,0
503,0
504,2
505,4
506,0
507,1
508,1
509,1
510,1
511,1
