channel,counts
0,247179
1,2432
2,2099
3,1856
4,1657
5,1652
6,1521
7,1482
8,1458
9,1394
10,1378
11,1339
12,1314
13,1273
14,1354
15,1306
16,1277
17,1214
18,1161
19,1184
20,1168
21,1137
22,1172
23,1115
24,1110
25,1092
26,1056
27,1011
28,1041
29,969
30,965
31,918
32,886
33,877
34,811
35,823
36,807
37,805
38,772
39,753
40,701
41,733
42,707
43,682
44,628
45,640
46,631
47,638
48,630
49,622
50,552
51,606
52,648
53,597
54,564
55,540
56,572
57,565
58,547
59,538
60,487
61,462
62,478
63,504
64,485
65,468
66,487
67,442
68,449
69,449
70,414
71,438
72,433
73,396
74,440
75,436
76,411
77,447
78,419
79,433
80,382
81,444
82,408
83,456
84,393
85,434
86,446
87,430
88,412
89,438
90,408
91,428
92,442
93,449
94,450
95,447
96,442
97,445
98,445
99,433
100,464
101,457
102,480
103,435
104,472
105,485
106,475
107,458
108,437
109,441
110,460
111,485
112,468
113,433
114,481
115,495
116,454
117,482
118,465
119,476
120,469
121,494
122,511
123,499
124,526
125,492
126,495
127,516
128,508
129,467
130,496
131,503
132,508
133,520
134,501
135,562
136,551
137,553
138,522
139,515
140,563
141,544
142,532
143,534
144,529
145,556
146,557
147,573
148,576
149,536
150,562
151,543
152,575
153,554
154,564
155,556
156,491
157,552
158,550
159,534
160,539
161,571
162,528
163,548
164,508
165,540
166,538
167,547
168,539
169,534
170,540
171,497
172,462
173,482
174,475
175,529
176,513
177,486
178,488
179,531
180,518
181,495
182,431
183,486
184,513
185,489
186,498
187,462
188,491
189,486
190,497
191,493
192,490
193,446
194,486
195,508
196,463
197,483
198,495
199,461
200,501
201,467
202,484
203,484
204,445
205,426
206,434
207,499
208,428
209,472
210,460
211,449
212,479
213,454
214,453
215,489
216,437
217,452
218,459
219,494
220,417
221,421
222,477
223,457
224,476
225,433
226,457
227,490
228,500
229,463
230,444
231,451
232,475
233,464
234,437
235,444
236,462
237,473
238,460
239,504
240,522
241,466
242,482
243,457
244,470
245,461
246,485
247,481
248,529
249,474
250,504
251,480
252,482
253,503
254,520
255,513
256,517
257,532
258,528
259,545
260,512
261,507
262,587
263,543
264,543
265,537
266,547
267,570
268,606
269,574
270,542
271,642
272,603
273,636
274,643
275,604
276,563
277,610
278,637
279,619
280,616
281,653
282,677
283,684
284,682
285,661
286,704
287,667
288,738
289,721
290,745
291,712
292,745
293,797
294,785
295,798
296,838
297,850
298,848
299,868
300,851
301,862
302,891
303,919
304,942
305,992
306,920
307,975
308,991
309,933
310,1073
311,972
312,989
313,1085
314,1097
315,1082
316,1161
317,1144
318,1158
319,1207
320,1191
321,1275
322,1256
323,1269
324,1375
325,1361
326,1334
327,1395
328,1355
329,1340
330,1408
331,1429
332,1389
333,1519
334,1529
335,1600
336,1517
337,1574
338,1576
339,1596
340,1635
341,1720
342,1614
343,1676
344,1782
345,1776
346,1888
347,1829
348,1841
349,1850
350,1971
351,1946
352,2052
353,2024
354,2013
355,2149
356,2082
357,2118
358,2190
359,2146
360,2193
361,2221
362,2309
363,2314
364,2334
365,2424
366,2391
367,2473
368,2405
369,2471
370,2529
371,2420
372,2500
373,2547
374,2614
375,2628
376,2555
377,2571
378,2715
379,2548
380,2728
381,2662
382,2701
383,2742
384,2593
385,2776
386,2748
387,2777
388,2797
389,2825
390,2932
391,2793
392,2826
393,2835
394,2921
395,2916
396,2765
397,2907
398,2993
399,2825
400,2929
401,2854
402,2935
403,2973
404,2957
405,2824
406,2915
407,2883
408,2949
409,2952
410,2967
411,2971
412,2992
413,2948
414,3001
415,2866
416,2952
417,2838
418,2787
419,2794
420,2867
421,2739
422,2669
423,2679
424,2556
425,2520
426,2564
427,2467
428,2432
429,2219
430,2165
431,2114
432,2122
433,1935
434,1882
435,1861
436,1706
437,1548
438,1557
439,1409
440,1373
441,1231
442,1175
443,1063
444,1053
445,931
446,900
447,829
448,776
449,711
450,671
451,655
452,644
453,532
454,506
455,558
456,496
457,494
458,516
459,513
460,449
461,486
462,437
463,427
464,439
465,417
466,452
467,399
468,405
469,402
470,419
471,383
472,367
473,372
474,373
475,366
476,387
477,396
478,347
479,341
480,328
481,336
482,370
483,349
484,376
485,324
486,331
487,357
488,356
489,340
490,336
491,353
492,327
493,349
494,342
495,349
496,330
497,322
498,321
499,351
500,324
501,331
502,323
503,303
504,335
505,304
506,272
507,316
508,326
509,312
510,338
511,315
