channel,counts
0,145152
1,416
2,438
3,426
4,487
5,515
6,518
7,511
8,478
9,435
10,413
11,386
12,364
13,365
14,351
15,344
16,354
17,335
18,330
19,317
20,277
21,265
22,254
23,205
24,218
25,210
26,180
27,154
28,183
29,181
30,163
31,171
32,176
33,170
34,142
35,163
36,155
37,149
38,154
39,153
40,165
41,151
42,180
43,155
44,150
45,158
46,160
47,174
48,169
49,175
50,170
51,163
52,158
53,167
54,175
55,145
56,165
57,167
58,165
59,186
60,163
61,171
62,197
63,204
64,163
65,191
66,182
67,177
68,194
69,196
70,194
71,189
72,196
73,202
74,211
75,184
76,194
77,177
78,201
79,184
80,203
81,209
82,224
83,215
84,203
85,205
86,222
87,211
88,195
89,241
90,225
91,256
92,251
93,240
94,241
95,280
96,266
97,256
98,311
99,234
100,279
101,291
102,291
103,302
104,316
105,309
106,283
107,324
108,309
109,355
110,302
111,307
112,330
113,290
114,314
115,297
116,307
117,275
118,318
119,311
120,301
121,305
122,295
123,299
124,300
125,288
126,304
127,306
128,303
129,286
130,271
131,317
132,266
133,283
134,295
135,289
136,277
137,274
138,272
139,268
140,321
141,284
142,280
143,263
144,260
145,290
146,251
147,273
148,268
149,298
150,249
151,270
152,236
153,292
154,278
155,252
156,252
157,233
158,238
159,238
160,248
161,255
162,253
163,249
164,250
165,249
166,246
167,257
168,260
169,241
170,248
171,257
172,247
173,254
174,250
175,231
176,234
177,240
178,252
179,252
180,233
181,210
182,222
183,207
184,230
185,233
186,220
187,241
188,223
189,238
190,227
191,217
192,194
193,217
194,204
195,221
196,205
197,225
198,243
199,215
200,235
201,225
202,197
203,220
204,223
205,228
206,221
207,214
208,205
209,209
210,253
211,232
212,226
213,211
214,225
215,220
216,240
217,217
218,209
219,264
220,225
221,219
222,227
223,228
224,189
225,205
226,210
227,213
228,214
229,211
230,246
231,215
232,234
233,228
234,235
235,242
236,234
237,230
238,226
239,251
240,240
241,236
242,244
243,245
244,248
245,223
246,232
247,258
248,240
249,232
250,263
251,273
252,222
253,279
254,275
255,246
256,269
257,258
258,287
259,234
260,271
261,256
262,277
263,303
264,286
265,306
266,283
267,288
268,325
269,309
270,350
271,309
272,341
273,299
274,349
275,350
276,353
277,363
278,367
279,412
280,400
281,407
282,395
283,401
284,405
285,443
286,411
287,476
288,413
289,443
290,491
291,437
292,495
293,500
294,533
295,535
296,556
297,525
298,509
299,589
300,546
301,597
302,609
303,588
304,619
305,610
306,702
307,724
308,740
309,655
310,669
311,752
312,728
313,789
314,801
315,736
316,846
317,830
318,839
319,865
320,860
321,952
322,927
323,977
324,972
325,1040
326,1131
327,1075
328,1139
329,1100
330,1160
331,1136
332,1217
333,1212
334,1205
335,1246
336,1280
337,1358
338,1362
339,1281
340,1375
341,1429
342,1390
343,1471
344,1478
345,1424
346,1554
347,1614
348,1579
349,1598
350,1552
351,1611
352,1592
353,1719
354,1693
355,1697
356,1745
357,1766
358,1804
359,1849
360,1837
361,1925
362,1940
363,2030
364,2150
365,2096
366,2122
367,2200
368,2262
369,2369
370,2331
371,2401
372,2542
373,2537
374,2659
375,2661
376,2592
377,2681
378,2742
379,2837
380,2877
381,2876
382,2903
383,2906
384,2797
385,2829
386,2781
387,2894
388,2705
389,2690
390,2579
391,2413
392,2460
393,2312
394,2163
395,2002
396,1856
397,1804
398,1730
399,1554
400,1338
401,1243
402,1141
403,952
404,850
405,753
406,693
407,620
408,551
409,515
410,502
411,438
412,458
413,410
414,359
415,418
416,370
417,348
418,320
419,331
420,296
421,325
422,313
423,302
424,288
425,242
426,275
427,240
428,232
429,242
430,224
431,216
432,228
433,229
434,181
435,214
436,181
437,201
438,192
439,167
440,174
441,165
442,177
443,176
444,168
445,175
446,177
447,151
448,174
449,176
450,177
451,160
452,178
453,170
454,163
455,150
456,160
457,169
458,140
459,131
460,160
461,160
462,153
463,166
464,160
465,147
466,154
467,147
468,162
469,172
470,169
471,147
472,166
473,156
474,188
475,143
476,124
477,139
478,137
479,154
480,135
481,164
482,168
483,153
484,165
485,143
486,156
487,144
488,140
489,156
490,144
491,134
492,170
493,136
494,140
495,128
496,131
497,141
498,148
499,160
500,137
501,157
502,128
503,170
504,155
505,144
506,130
507,142
508,131
509,140
510,141
511,141
