channel,counts
0,191117
1,657
2,702
3,668
4,567
5,607
6,507
7,471
8,463
9,478
10,545
11,529
12,526
13,484
14,446
15,366
16,322
17,310
18,258
19,279
20,283
21,284
22,251
23,268
24,266
25,274
26,272
27,241
28,267
29,277
30,290
31,255
32,285
33,282
34,250
35,294
36,280
37,287
38,267
39,293
40,298
41,278
42,259
43,261
44,341
45,309
46,304
47,276
48,307
49,338
50,331
51,354
52,332
53,326
54,356
55,331
56,362
57,393
58,400
59,376
60,431
61,412
62,441
63,421
64,440
65,457
66,449
67,482
68,534
69,553
70,529
71,536
72,558
73,511
74,523
75,539
76,503
77,511
78,517
79,506
80,516
81,500
82,517
83,475
84,489
85,535
86,476
87,531
88,476
89,461
90,475
91,471
92,448
93,502
94,446
95,472
96,414
97,485
98,475
99,432
100,463
101,428
102,467
103,415
104,451
105,422
106,399
107,385
108,423
109,408
110,412
111,441
112,422
113,403
114,409
115,444
116,376
117,393
118,365
119,384
120,356
121,399
122,425
123,392
124,401
125,409
126,374
127,348
128,334
129,367
130,401
131,365
132,378
133,390
134,350
135,349
136,353
137,365
138,353
139,355
140,348
141,408
142,381
143,337
144,328
145,354
146,360
147,343
148,350
149,352
150,390
151,374
152,386
153,371
154,396
155,417
156,455
157,378
158,359
159,370
160,400
161,416
162,411
163,405
164,418
165,438
166,458
167,426
168,451
169,489
170,501
171,503
172,480
173,489
174,488
175,588
176,584
177,510
178,547
179,580
180,604
181,611
182,632
183,668
184,655
185,688
186,748
187,737
188,794
189,791
190,878
191,803
192,859
193,938
194,885
195,989
196,1007
197,1036
198,1099
199,1131
200,1153
201,1256
202,1304
203,1287
204,1363
205,1464
206,1426
207,1461
208,1602
209,1594
210,1745
211,1689
212,1786
213,1860
214,1911
215,1967
216,1977
217,2167
218,2135
219,2304
220,2289
221,2265
222,2403
223,2447
224,2382
225,2586
226,2710
227,2710
228,2731
229,2721
230,2888
231,2919
232,2924
233,3124
234,3175
235,3279
236,3444
237,3581
238,3718
239,3925
240,4017
241,4173
242,4227
243,4502
244,4534
245,4578
246,4735
247,4871
248,4688
249,4814
250,4790
251,4614
252,4495
253,4369
254,3952
255,3673
256,3450
257,3021
258,2584
259,2349
260,1917
261,1667
262,1311
263,1142
264,977
265,888
266,812
267,688
268,657
269,596
270,597
271,583
272,555
273,487
274,440
275,480
276,428
277,352
278,377
279,372
280,359
281,340
282,346
283,332
284,305
285,287
286,290
287,293
288,280
289,286
290,276
291,289
292,263
293,288
294,283
295,274
296,272
297,294
298,294
299,268
300,247
301,267
302,255
303,253
304,301
305,277
306,261
307,245
308,243
309,260
310,252
311,264
312,257
313,261
314,255
315,248
316,244
317,267
318,263
319,226
320,268
321,246
322,258
323,240
324,214
325,237
326,217
327,252
328,274
329,223
330,220
331,227
332,252
333,223
334,192
335,212
336,217
337,231
338,239
339,218
340,197
341,188
342,225
343,215
344,198
345,208
346,212
347,198
348,186
349,187
350,194
351,174
352,186
353,194
354,185
355,159
356,167
357,196
358,161
359,166
360,168
361,181
362,150
363,166
364,145
365,155
366,130
367,141
368,144
369,138
370,117
371,120
372,122
373,125
374,110
375,106
376,109
377,94
378,83
379,84
380,108
381,89
382,81
383,90
384,85
385,74
386,83
387,96
388,88
389,82
390,67
391,67
392,57
393,84
394,61
395,66
396,84
397,73
398,74
399,89
400,70
401,87
402,70
403,64
404,70
405,73
406,80
407,85
408,72
409,82
410,73
411,69
412,73
413,80
414,76
415,83
416,63
417,89
418,87
419,91
420,60
421,88
422,88
423,88
424,92
425,89
426,84
427,86
428,93
429,96
430,81
431,77
432,82
433,90
434,93
435,92
436,90
437,79
438,94
439,84
440,92
441,79
442,64
443,100
444,92
445,73
446,74
447,90
448,97
449,97
450,83
451,102
452,93
453,111
454,85
455,88
456,90
457,73
458,89
459,83
460,76
461,91
462,75
463,79
464,96
465,90
466,86
467,89
468,79
469,93
470,104
471,78
472,104
473,89
474,87
475,94
476,101
477,82
478,85
479,80
480,83
481,80
482,96
483,77
484,85
485,86
486,88
487,84
488,70
489,79
490,94
491,71
492,86
493,78
494,83
495,76
496,70
497,61
498,69
499,70
500,57
501,58
502,45
503,46
504,46
505,46
506,37
507,39
508,33
509,31
510,38
511,31
