channel,counts
0,3878850
1,536
2,377
3,285
4,223
5,204541
6,332015
7,336762
8,278929
9,222103
10,181222
11,157504
12,140935
13,128864
14,119648
15,111816
16,104694
17,98196
18,92031
19,88638
20,84270
21,80765
22,75748
23,72040
24,68086
25,64775
26,60742
27,57940
28,54823
29,52429
30,49868
31,47755
32,45356
33,42829
34,40703
35,38111
36,35506
37,32841
38,30690
39,28302
40,26074
41,23952
42,22400
43,20523
44,19042
45,17558
46,16461
47,14885
48,13776
49,12982
50,11801
51,10724
52,10105
53,9141
54,8582
55,7678
56,7175
57,6619
58,6208
59,5538
60,5251
61,4686
62,4251
63,4049
64,3721
65,3453
66,3041
67,2843
68,2563
69,2426
70,2185
71,2024
72,1896
73,1706
74,1576
75,1441
76,1373
77,1225
78,1089
79,1068
80,942
81,809
82,747
83,705
84,648
85,587
86,562
87,501
88,429
89,444
90,411
91,356
92,327
93,311
94,258
95,255
96,222
97,205
98,203
99,199
100,162
101,153
102,144
103,120
104,109
105,109
106,101
107,81
108,88
109,69
110,67
111,72
112,51
113,50
114,51
115,43
116,43
117,38
118,39
119,29
120,31
121,41
122,30
123,23
124,24
125,23
126,24
127,23
128,17
129,14
130,24
131,17
132,12
133,22
134,8
135,9
136,14
137,14
138,10
139,7
140,10
141,9
142,11
143,6
144,4
145,12
146,13
147,7
148,9
149,7
150,6
151,6
152,8
153,15
154,8
155,7
156,5
157,6
158,13
159,5
160,5
161,6
162,10
163,6
164,6
165,9
166,5
167,6
168,5
169,7
170,7
171,5
172,6
173,3
174,6
175,5
176,6
177,6
178,7
179,9
180,5
181,8
182,5
183,6
184,5
185,6
186,7
187,4
188,8
189,5
190,6
191,6
192,11
193,15
194,6
195,3
196,5
197,6
198,1
199,8
200,8
201,7
202,9
203,8
204,7
205,7
206,8
207,2
208,7
209,9
210,3
211,5
212,10
213,5
214,11
215,8
216,8
217,4
218,9
219,3
220,9
221,8
222,10
223,3
224,8
225,3
226,8
227,12
228,8
229,6
230,6
231,6
232,1
233,4
234,5
235,7
236,5
237,6
238,7
239,8
240,6
241,5
242,8
243,2
244,10
245,4
246,7
247,9
248,7
249,5
250,7
251,6
252,6
253,2
254,5
255,4
256,8
257,7
258,8
259,1
260,7
261,4
262,4
263,6
264,5
265,6
266,6
267,7
268,4
269,1
270,4
271,5
272,2
273,5
274,2
275,4
276,2
277,3
278,7
279,3
280,5
281,4
282,7
283,3
284,7
285,4
286,1
287,6
288,9
289,7
290,9
291,7
292,5
293,7
294,11
295,8
296,11
297,4
298,4
299,4
300,9
301,4
302,11
303,7
304,9
305,5
306,4
307,6
308,8
309,7
310,4
311,7
312,6
313,7
314,7
315,3
316,12
317,11
318,7
319,9
320,9
321,7
322,5
323,9
324,4
325,4
326,6
327,10
328,1
329,10
330,8
331,7
332,2
333,8
334,3
335,7
336,6
337,4
338,4
339,6
340,2
341,9
342,6
343,6
344,5
345,5
346,5
347,5
348,5
349,8
350,3
351,10
352,8
353,8
354,8
355,9
356,9
357,9
358,10
359,8
360,7
361,7
362,10
363,15
364,14
365,15
366,21
367,18
368,18
369,23
370,22
371,31
372,37
373,24
374,36
375,38
376,51
377,56
378,48
379,56
380,55
381,68
382,79
383,74
384,71
385,107
386,74
387,81
388,88
389,80
390,98
391,72
392,84
393,88
394,81
395,88
396,76
397,77
398,65
399,65
400,52
401,44
402,41
403,41
404,31
405,31
406,33
407,19
408,27
409,17
410,13
411,14
412,19
413,14
414,12
415,16
416,11
417,8
418,14
419,13
420,12
421,11
422,15
423,8
424,5
425,10
426,4
427,6
428,8
429,11
430,5
431,10
432,8
433,1
434,5
435,8
436,3
437,9
438,9
439,6
440,5
441,6
442,3
443,3
444,5
445,3
446,7
447,5
448,7
449,6
450,5
451,6
452,3
453,1
454,5
455,3
456,7
457,8
458,6
459,3
460,4
461,5
462,5
463,2
464,3
465,11
466,5
467,4
468,2
469,1
470,6
471,5
472,1
473,6
474,1
475,6
476,3
477,0
478,5
479,2
480,7
481,5
482,3
483,3
484,7
485,8
486,4
487,5
488,1
489,8
490,3
491,4
492,3
493,5
494,4
495,3
496,5
497,7
498,7
499,1
500,8
501,5
502,4
503,3
504,1
505,3
506,3
507,4
508,5
509,5
510,6
511,1
