channel,counts
0,576482
1,94
2,72
3,44
4,39
5,41784
6,67660
7,65640
8,49689
9,35769
10,27026
11,22403
12,19686
13,17727
14,16117
15,14757
16,13491
17,12506
18,11584
19,11076
20,10394
21,9908
22,9380
23,8730
24,8300
25,7749
26,7305
27,6995
28,6613
29,6319
30,5945
31,5691
32,5296
33,5085
34,4801
35,4370
36,4183
37,3861
38,3554
39,3288
40,2908
41,2745
42,2500
43,2290
44,2182
45,2006
46,1729
47,1686
48,1575
49,1469
50,1309
51,1239
52,1121
53,1084
54,1000
55,895
56,839
57,812
58,706
59,666
60,661
61,527
62,550
63,467
64,416
65,394
66,379
67,316
68,316
69,302
70,277
71,257
72,219
73,226
74,193
75,198
76,188
77,160
78,129
79,126
80,132
81,109
82,94
83,90
84,88
85,71
86,78
87,71
88,80
89,58
90,53
91,57
92,53
93,36
94,38
95,36
96,47
97,35
98,34
99,37
100,32
101,27
102,26
103,24
104,33
105,24
106,32
107,30
108,22
109,15
110,19
111,17
112,22
113,19
114,17
115,12
116,17
117,26
118,21
119,23
120,13
121,12
122,11
123,14
124,11
125,12
126,13
127,9
128,20
129,11
130,9
131,15
132,12
133,10
134,9
135,11
136,12
137,12
138,10
139,12
140,18
141,10
142,17
143,12
144,13
145,13
146,9
147,13
148,10
149,16
150,11
151,12
152,12
153,9
154,11
155,10
156,11
157,18
158,19
159,10
160,16
161,9
162,10
163,9
164,10
165,14
166,12
167,14
168,11
169,12
170,12
171,10
172,15
173,12
174,10
175,18
176,15
177,14
178,16
179,13
180,15
181,11
182,19
183,16
184,11
185,15
186,17
187,15
188,14
189,6
190,13
191,7
192,12
193,14
194,22
195,12
196,15
197,9
198,19
199,15
200,13
201,25
202,12
203,14
204,13
205,12
206,8
207,21
208,10
209,11
210,16
211,15
212,15
213,13
214,14
215,15
216,12
217,7
218,12
219,14
220,15
221,9
222,11
223,12
224,16
225,9
226,11
227,11
228,10
229,11
230,6
231,14
232,10
233,10
234,8
235,9
236,15
237,9
238,16
239,11
240,12
241,10
242,13
243,16
244,15
245,17
246,16
247,14
248,13
249,11
250,11
251,16
252,8
253,11
254,10
255,11
256,8
257,15
258,11
259,17
260,8
261,14
262,14
263,16
264,8
265,20
266,3
267,13
268,14
269,12
270,13
271,12
272,7
273,12
274,3
275,10
276,10
277,11
278,8
279,5
280,10
281,14
282,7
283,14
284,7
285,22
286,13
287,5
288,6
289,7
290,8
291,11
292,10
293,19
294,11
295,11
296,9
297,17
298,10
299,8
300,10
301,9
302,2
303,9
304,15
305,11
306,12
307,11
308,8
309,10
310,16
311,7
312,11
313,8
314,5
315,4
316,13
317,7
318,6
319,9
320,6
321,6
322,18
323,6
324,14
325,9
326,7
327,3
328,9
329,8
330,12
331,11
332,16
333,9
334,11
335,16
336,6
337,9
338,7
339,10
340,18
341,6
342,12
343,5
344,8
345,7
346,11
347,9
348,7
349,7
350,12
351,12
352,10
353,13
354,10
355,16
356,12
357,16
358,10
359,16
360,25
361,20
362,11
363,13
364,15
365,18
366,32
367,37
368,42
369,40
370,47
371,46
372,35
373,46
374,51
375,77
376,60
377,67
378,98
379,88
380,87
381,88
382,90
383,115
384,116
385,109
386,108
387,127
388,106
389,116
390,108
391,97
392,77
393,98
394,88
395,112
396,98
397,78
398,64
399,67
400,43
401,39
402,40
403,41
404,24
405,27
406,24
407,22
408,18
409,14
410,21
411,18
412,15
413,18
414,16
415,19
416,12
417,18
418,11
419,8
420,4
421,11
422,16
423,12
424,6
425,9
426,11
427,13
428,9
429,8
430,9
431,8
432,9
433,4
434,6
435,6
436,14
437,5
438,5
439,5
440,9
441,11
442,7
443,5
444,6
445,9
446,10
447,9
448,5
449,7
450,11
451,9
452,2
453,8
454,6
455,8
456,7
457,4
458,6
459,9
460,6
461,5
462,6
463,10
464,4
465,6
466,7
467,4
468,8
469,9
470,4
471,5
472,7
473,7
474,5
475,4
476,5
477,8
478,3
479,4
480,5
481,5
482,6
483,7
484,7
485,8
486,5
487,5
488,1
489,5
490,7
491,5
492,6
493,1
494,10
495,4
496,8
497,4
498,2
499,4
500,7
501,4
502,7
503,5
504,8
505,9
506,4
507,4
508,2
509,5
510,5
511,3
