channel,counts
0,100203
1,8
2,7
3,6
4,4
5,12730
6,17774
7,13441
8,8446
9,5667
10,4180
11,3451
12,2998
13,2588
14,2217
15,2030
16,1921
17,1705
18,1578
19,1555
20,1412
21,1276
22,1170
23,1129
24,1026
25,940
26,894
27,821
28,794
29,710
30,684
31,614
32,622
33,496
34,477
35,392
36,390
37,362
38,353
39,319
40,273
41,257
42,237
43,219
44,166
45,173
46,164
47,137
48,143
49,142
50,110
51,103
52,103
53,89
54,78
55,67
56,64
57,61
58,67
59,54
60,44
61,32
62,34
63,32
64,37
65,18
66,19
67,23
68,13
69,20
70,22
71,20
72,12
73,13
74,8
75,13
76,4
77,13
78,5
79,9
80,6
81,8
82,6
83,10
84,5
85,8
86,9
87,10
88,12
89,9
90,11
91,5
92,5
93,5
94,4
95,6
96,4
97,7
98,6
99,7
100,4
101,5
102,12
103,4
104,4
105,8
106,6
107,1
108,4
109,2
110,3
111,3
112,5
113,4
114,1
115,7
116,3
117,6
118,5
119,4
120,6
121,4
122,6
123,5
124,5
125,6
126,5
127,2
128,3
129,4
130,5
131,1
132,6
133,2
134,5
135,3
136,3
137,3
138,3
139,7
140,5
141,3
142,4
143,3
144,2
145,3
146,4
147,1
148,2
149,2
150,3
151,5
152,5
153,0
154,2
155,2
156,5
157,3
158,3
159,3
160,5
161,2
162,5
163,1
164,1
165,5
166,3
167,2
168,3
169,1
170,4
171,4
172,6
173,2
174,1
175,0
176,4
177,2
178,2
179,3
180,4
181,1
182,4
183,1
184,4
185,4
186,1
187,2
188,0
189,3
190,3
191,6
192,3
193,1
194,3
195,2
196,2
197,1
198,2
199,3
200,4
201,1
202,3
203,4
204,1
205,2
206,1
207,0
208,1
209,3
210,2
211,3
212,0
213,2
214,2
215,1
216,2
217,5
218,3
219,5
220,2
221,2
222,3
223,2
224,3
225,2
226,2
227,1
228,2
229,3
230,2
231,1
232,4
233,2
234,0
235,3
236,4
237,1
238,2
239,2
240,7
241,2
242,4
243,4
244,5
245,1
246,2
247,2
248,1
249,3
250,3
251,3
252,0
253,1
254,0
255,5
256,0
257,5
258,2
259,4
260,4
261,2
262,9
263,4
264,0
265,2
266,4
267,6
268,4
269,2
270,5
271,4
272,2
273,6
274,2
275,3
276,6
277,6
278,5
279,5
280,2
281,5
282,1
283,3
284,4
285,4
286,5
287,4
288,1
289,1
290,4
291,4
292,3
293,7
294,3
295,2
296,1
297,7
298,3
299,2
300,5
301,2
302,5
303,3
304,6
305,3
306,8
307,2
308,4
309,6
310,4
311,5
312,5
313,9
314,5
315,6
316,8
317,7
318,7
319,8
320,13
321,9
322,24
323,20
324,22
325,24
326,31
327,31
328,43
329,58
330,59
331,67
332,55
333,74
334,78
335,78
336,98
337,98
338,100
339,86
340,116
341,95
342,107
343,97
344,81
345,91
346,63
347,82
348,65
349,64
350,60
351,43
352,26
353,18
354,22
355,22
356,25
357,11
358,15
359,5
360,13
361,9
362,13
363,10
364,7
365,7
366,8
367,4
368,6
369,7
370,5
371,1
372,5
373,6
374,5
375,5
376,5
377,2
378,2
379,4
380,1
381,2
382,3
383,0
384,6
385,0
386,0
387,3
388,4
389,3
390,1
391,0
392,0
393,4
394,0
395,2
396,1
397,3
398,0
399,1
400,1
401,2
402,4
403,4
404,1
405,1
406,1
407,2
408,2
409,2
410,2
411,0
412,2
413,2
414,3
415,2
416,4
417,1
418,2
419,0
420,3
421,1
422,1
423,0
424,1
425,1
426,2
427,0
428,3
429,1
430,1
431,2
432,1
433,1
434,0
435,2
436,0
437,4
438,2
439,1
440,0
441,3
442,1
443,2
444,2
445,1
446,0
447,2
448,1
449,1
450,0
451,1
452,2
453,1
454,0
455,2
456,1
457,3
458,4
459,0
460,3
461,0
462,2
463,2
464,2
465,1
466,0
467,4
468,1
469,1
470,3
471,5
472,3
473,2
474,2
475,0
476,3
477,0
478,3
479,2
480,2
481,4
482,1
483,0
484,3
485,0
486,2
487,2
488,2
489,1
490,2
491,2
492,0
493,4
494,2
495,2
496,1
497,1
498,0
499,1
500,1
501,2
502,3
503,2
504,1
505,1
506,0
507,0
508,1
509,1
510,1
511,0
