channel,counts
0,1325472
1,153
2,108
3,87
4,59
5,89159
6,142338
7,139851
8,109519
9,81403
10,63138
11,53098
12,46834
13,42373
14,39084
15,35515
16,33146
17,30934
18,28565
19,27349
20,25894
21,24432
22,23383
23,22100
24,20716
25,19556
26,18359
27,17410
28,16475
29,15922
30,15152
31,14372
32,13437
33,12462
34,12019
35,11419
36,10580
37,9693
38,9003
39,8091
40,7687
41,7078
42,6549
43,5871
44,5426
45,5130
46,4640
47,4343
48,3950
49,3591
50,3378
51,3104
52,2857
53,2724
54,2508
55,2270
56,2089
57,1841
58,1803
59,1631
60,1513
61,1406
62,1279
63,1165
64,1054
65,1004
66,861
67,820
68,736
69,737
70,666
71,595
72,571
73,517
74,440
75,412
76,416
77,354
78,347
79,297
80,280
81,268
82,241
83,244
84,195
85,211
86,177
87,137
88,162
89,133
90,123
91,118
92,106
93,77
94,92
95,84
96,73
97,89
98,70
99,61
100,52
101,42
102,47
103,47
104,44
105,36
106,34
107,41
108,35
109,14
110,25
111,30
112,23
113,31
114,30
115,28
116,21
117,17
118,17
119,23
120,18
121,27
122,28
123,21
124,19
125,17
126,8
127,12
128,12
129,12
130,11
131,9
132,9
133,12
134,9
135,11
136,16
137,13
138,9
139,12
140,16
141,7
142,5
143,6
144,15
145,13
146,10
147,16
148,10
149,8
150,7
151,15
152,9
153,12
154,16
155,10
156,11
157,11
158,8
159,5
160,15
161,10
162,11
163,7
164,11
165,6
166,11
167,7
168,11
169,12
170,4
171,8
172,5
173,9
174,10
175,7
176,3
177,9
178,15
179,9
180,9
181,7
182,13
183,13
184,4
185,8
186,7
187,9
188,9
189,10
190,12
191,4
192,6
193,9
194,9
195,15
196,9
197,11
198,11
199,10
200,9
201,8
202,14
203,9
204,7
205,7
206,6
207,14
208,8
209,9
210,9
211,8
212,14
213,11
214,7
215,9
216,5
217,9
218,9
219,10
220,11
221,5
222,10
223,6
224,7
225,14
226,15
227,8
228,9
229,5
230,13
231,11
232,11
233,9
234,6
235,10
236,12
237,10
238,15
239,6
240,10
241,8
242,12
243,6
244,14
245,13
246,5
247,9
248,10
249,6
250,6
251,7
252,3
253,10
254,5
255,15
256,9
257,7
258,9
259,9
260,8
261,7
262,8
263,11
264,5
265,11
266,7
267,6
268,4
269,9
270,9
271,7
272,16
273,8
274,8
275,7
276,4
277,5
278,9
279,8
280,12
281,10
282,11
283,6
284,12
285,8
286,4
287,8
288,5
289,8
290,7
291,10
292,14
293,13
294,6
295,4
296,7
297,5
298,7
299,9
300,7
301,6
302,14
303,10
304,10
305,2
306,7
307,11
308,9
309,5
310,8
311,8
312,11
313,12
314,10
315,14
316,10
317,9
318,11
319,7
320,8
321,10
322,12
323,1
324,10
325,9
326,9
327,12
328,10
329,5
330,7
331,8
332,7
333,8
334,6
335,6
336,15
337,5
338,6
339,8
340,13
341,7
342,9
343,11
344,8
345,7
346,10
347,6
348,8
349,4
350,10
351,7
352,7
353,10
354,6
355,3
356,12
357,10
358,11
359,13
360,10
361,14
362,18
363,11
364,15
365,16
366,22
367,24
368,30
369,23
370,34
371,37
372,27
373,44
374,43
375,47
376,59
377,48
378,66
379,54
380,62
381,65
382,68
383,84
384,71
385,77
386,91
387,81
388,103
389,97
390,69
391,66
392,73
393,85
394,83
395,60
396,50
397,61
398,49
399,49
400,47
401,40
402,24
403,29
404,20
405,8
406,20
407,19
408,14
409,12
410,18
411,13
412,15
413,13
414,15
415,17
416,10
417,8
418,13
419,6
420,11
421,13
422,11
423,7
424,11
425,6
426,4
427,2
428,10
429,3
430,2
431,5
432,10
433,1
434,2
435,11
436,5
437,8
438,10
439,5
440,12
441,3
442,6
443,4
444,7
445,5
446,5
447,7
448,5
449,8
450,5
451,5
452,4
453,6
454,8
455,8
456,5
457,11
458,5
459,6
460,5
461,8
462,5
463,1
464,5
465,3
466,6
467,4
468,8
469,2
470,11
471,5
472,1
473,5
474,3
475,3
476,5
477,8
478,5
479,6
480,6
481,4
482,5
483,6
484,7
485,4
486,6
487,4
488,1
489,5
490,3
491,10
492,7
493,6
494,4
495,5
496,10
497,4
498,8
499,1
500,8
501,5
502,9
503,7
504,5
505,9
506,1
507,8
508,3
509,13
510,10
511,4
