channel,counts
0,1212259
1,126
2,88
3,66
4,62
5,64270
6,99043
7,100763
8,85971
9,69228
10,57326
11,50504
12,45335
13,41709
14,38108
15,35715
16,33304
17,31927
18,29977
19,28747
20,27335
21,26124
22,24764
23,22903
24,21903
25,20696
26,19688
27,18785
28,18044
29,17148
30,16417
31,15576
32,14887
33,14013
34,13378
35,12696
36,11858
37,10898
38,10205
39,9534
40,8588
41,8003
42,7492
43,6728
44,6233
45,5864
46,5359
47,4860
48,4562
49,4294
50,3927
51,3573
52,3277
53,3107
54,2817
55,2632
56,2326
57,2166
58,1950
59,1853
60,1715
61,1588
62,1480
63,1315
64,1224
65,1053
66,1004
67,937
68,873
69,765
70,680
71,645
72,611
73,525
74,478
75,441
76,420
77,359
78,343
79,283
80,293
81,279
82,225
83,209
84,210
85,169
86,160
87,143
88,138
89,129
90,125
91,103
92,112
93,87
94,71
95,77
96,85
97,74
98,61
99,55
100,55
101,41
102,42
103,51
104,38
105,35
106,30
107,23
108,25
109,28
110,33
111,27
112,26
113,32
114,17
115,25
116,29
117,31
118,22
119,23
120,19
121,10
122,15
123,19
124,20
125,10
126,18
127,11
128,17
129,13
130,14
131,10
132,15
133,14
134,11
135,15
136,10
137,7
138,11
139,14
140,14
141,17
142,20
143,5
144,13
145,11
146,10
147,14
148,10
149,11
150,16
151,11
152,11
153,9
154,9
155,10
156,11
157,15
158,13
159,8
160,8
161,12
162,7
163,6
164,10
165,4
166,11
167,9
168,11
169,8
170,8
171,10
172,11
173,6
174,14
175,8
176,10
177,6
178,9
179,11
180,4
181,5
182,9
183,10
184,8
185,3
186,8
187,10
188,11
189,2
190,7
191,10
192,7
193,11
194,14
195,13
196,10
197,7
198,8
199,9
200,8
201,11
202,9
203,11
204,8
205,5
206,7
207,12
208,4
209,10
210,1
211,6
212,9
213,6
214,4
215,5
216,4
217,7
218,11
219,10
220,8
221,9
222,8
223,7
224,4
225,6
226,6
227,4
228,8
229,3
230,10
231,7
232,7
233,13
234,3
235,1
236,8
237,7
238,2
239,5
240,13
241,10
242,8
243,8
244,4
245,3
246,8
247,2
248,9
249,6
250,4
251,9
252,6
253,5
254,7
255,7
256,4
257,6
258,9
259,7
260,5
261,5
262,9
263,5
264,7
265,7
266,4
267,5
268,5
269,9
270,6
271,3
272,5
273,6
274,9
275,7
276,6
277,4
278,5
279,5
280,8
281,3
282,6
283,7
284,9
285,4
286,6
287,13
288,12
289,12
290,9
291,7
292,7
293,11
294,9
295,17
296,17
297,4
298,6
299,11
300,8
301,6
302,11
303,2
304,8
305,10
306,11
307,9
308,9
309,8
310,9
311,15
312,8
313,9
314,8
315,12
316,14
317,10
318,7
319,6
320,9
321,14
322,5
323,13
324,18
325,17
326,12
327,16
328,11
329,7
330,13
331,11
332,7
333,9
334,14
335,13
336,10
337,10
338,9
339,10
340,12
341,16
342,6
343,21
344,10
345,9
346,11
347,11
348,7
349,18
350,13
351,9
352,15
353,15
354,14
355,17
356,13
357,11
358,25
359,28
360,29
361,38
362,30
363,55
364,52
365,56
366,82
367,67
368,72
369,89
370,114
371,117
372,128
373,126
374,156
375,177
376,170
377,184
378,209
379,200
380,220
381,234
382,269
383,237
384,242
385,229
386,267
387,242
388,255
389,228
390,258
391,233
392,189
393,188
394,176
395,153
396,155
397,122
398,120
399,83
400,80
401,60
402,52
403,48
404,42
405,44
406,32
407,40
408,34
409,35
410,26
411,30
412,21
413,30
414,25
415,29
416,20
417,17
418,26
419,19
420,20
421,17
422,25
423,20
424,22
425,7
426,14
427,13
428,9
429,11
430,12
431,12
432,13
433,12
434,15
435,7
436,12
437,6
438,4
439,6
440,4
441,6
442,8
443,3
444,12
445,3
446,4
447,6
448,6
449,5
450,4
451,5
452,7
453,4
454,6
455,7
456,7
457,11
458,2
459,9
460,6
461,2
462,5
463,5
464,7
465,3
466,6
467,5
468,5
469,7
470,6
471,7
472,2
473,13
474,7
475,2
476,11
477,8
478,5
479,6
480,6
481,2
482,4
483,3
484,5
485,7
486,4
487,8
488,2
489,5
490,5
491,5
492,8
493,4
494,1
495,5
496,7
497,3
498,3
499,4
500,7
501,3
502,10
503,5
504,5
505,6
506,9
507,4
508,5
509,5
510,6
511,6
