channel,counts
0,1506262
1,147
2,130
3,92
4,93
5,118981
6,184750
7,172840
8,130602
9,93738
10,71056
11,59304
12,51109
13,46413
14,41889
15,38344
16,35331
17,32395
18,30202
19,28609
20,26940
21,25820
22,24103
23,22719
24,21442
25,20176
26,19093
27,17994
28,17046
29,16053
30,15473
31,14611
32,13665
33,12945
34,12243
35,11209
36,10665
37,9838
38,8973
39,8244
40,7795
41,7139
42,6635
43,6080
44,5633
45,5018
46,4693
47,4436
48,4000
49,3810
50,3414
51,3241
52,2902
53,2661
54,2550
55,2320
56,2099
57,2030
58,1888
59,1762
60,1568
61,1371
62,1281
63,1207
64,1149
65,1135
66,958
67,922
68,731
69,809
70,672
71,652
72,626
73,563
74,471
75,497
76,460
77,390
78,343
79,330
80,323
81,253
82,264
83,246
84,196
85,195
86,190
87,160
88,157
89,158
90,148
91,145
92,130
93,102
94,92
95,97
96,90
97,85
98,99
99,92
100,82
101,72
102,62
103,69
104,65
105,60
106,37
107,58
108,58
109,46
110,49
111,62
112,43
113,55
114,39
115,41
116,40
117,45
118,35
119,35
120,39
121,35
122,37
123,30
124,41
125,30
126,34
127,25
128,26
129,35
130,25
131,40
132,32
133,33
134,27
135,32
136,20
137,33
138,29
139,34
140,39
141,23
142,40
143,23
144,25
145,22
146,34
147,43
148,35
149,25
150,31
151,34
152,19
153,36
154,37
155,20
156,26
157,28
158,29
159,28
160,20
161,28
162,22
163,24
164,16
165,20
166,32
167,42
168,45
169,34
170,28
171,24
172,26
173,27
174,23
175,39
176,29
177,26
178,26
179,28
180,28
181,28
182,24
183,20
184,25
185,28
186,28
187,22
188,41
189,27
190,29
191,32
192,28
193,19
194,35
195,21
196,29
197,36
198,28
199,15
200,39
201,30
202,24
203,23
204,30
205,27
206,30
207,33
208,35
209,22
210,27
211,23
212,24
213,34
214,20
215,28
216,24
217,18
218,26
219,34
220,16
221,25
222,26
223,20
224,27
225,32
226,29
227,26
228,28
229,24
230,23
231,31
232,33
233,24
234,18
235,24
236,19
237,27
238,23
239,29
240,20
241,27
242,14
243,24
244,36
245,28
246,17
247,20
248,23
249,23
250,24
251,31
252,28
253,22
254,25
255,33
256,17
257,15
258,20
259,38
260,21
261,22
262,23
263,24
264,11
265,21
266,22
267,21
268,21
269,22
270,21
271,16
272,18
273,25
274,17
275,30
276,33
277,21
278,24
279,30
280,15
281,26
282,27
283,22
284,16
285,18
286,28
287,28
288,26
289,24
290,19
291,26
292,21
293,36
294,31
295,21
296,23
297,30
298,22
299,22
300,26
301,27
302,30
303,22
304,22
305,28
306,28
307,37
308,23
309,25
310,24
311,24
312,29
313,29
314,20
315,20
316,29
317,22
318,19
319,27
320,34
321,28
322,15
323,31
324,19
325,28
326,35
327,29
328,32
329,26
330,23
331,17
332,26
333,30
334,24
335,19
336,25
337,24
338,26
339,31
340,26
341,20
342,28
343,23
344,28
345,25
346,26
347,18
348,21
349,29
350,24
351,28
352,30
353,27
354,35
355,18
356,36
357,46
358,36
359,37
360,34
361,45
362,64
363,59
364,57
365,82
366,98
367,85
368,109
369,115
370,128
371,150
372,171
373,169
374,186
375,173
376,206
377,209
378,207
379,254
380,283
381,302
382,296
383,321
384,307
385,289
386,355
387,326
388,335
389,308
390,306
391,295
392,306
393,280
394,281
395,237
396,229
397,197
398,154
399,178
400,127
401,136
402,93
403,95
404,82
405,79
406,67
407,63
408,48
409,51
410,49
411,49
412,54
413,41
414,63
415,47
416,47
417,49
418,40
419,40
420,37
421,40
422,35
423,26
424,34
425,30
426,25
427,28
428,18
429,39
430,25
431,22
432,24
433,21
434,21
435,25
436,18
437,17
438,19
439,22
440,15
441,16
442,12
443,8
444,19
445,18
446,15
447,15
448,19
449,18
450,13
451,17
452,15
453,21
454,24
455,9
456,18
457,16
458,21
459,16
460,15
461,7
462,18
463,14
464,11
465,16
466,19
467,19
468,20
469,20
470,20
471,15
472,11
473,8
474,12
475,15
476,11
477,13
478,10
479,19
480,18
481,7
482,12
483,17
484,21
485,18
486,16
487,18
488,13
489,17
490,12
491,18
492,12
493,16
494,14
495,14
496,17
497,14
498,9
499,16
500,13
501,8
502,24
503,15
504,18
505,16
506,15
507,13
508,15
509,4
510,9
511,13
