channel,counts
0,243201
1,22
2,20
3,11
4,11
5,20815
6,34269
7,34608
8,25142
9,17105
10,11690
11,9188
12,7883
13,6791
14,6078
15,5312
16,4754
17,4417
18,4060
19,3719
20,3509
21,3207
22,3156
23,2913
24,2676
25,2485
26,2354
27,2267
28,2057
29,1951
30,1769
31,1803
32,1560
33,1535
34,1407
35,1313
36,1195
37,1088
38,1011
39,929
40,905
41,792
42,719
43,662
44,647
45,549
46,534
47,487
48,462
49,402
50,347
51,383
52,310
53,320
54,292
55,273
56,228
57,243
58,193
59,175
60,170
61,133
62,146
63,147
64,121
65,111
66,110
67,91
68,96
69,87
70,76
71,73
72,68
73,74
74,65
75,55
76,54
77,34
78,40
79,34
80,41
81,56
82,29
83,30
84,34
85,25
86,22
87,20
88,23
89,25
90,29
91,18
92,16
93,19
94,19
95,16
96,13
97,14
98,12
99,17
100,15
101,17
102,19
103,18
104,6
105,11
106,11
107,17
108,16
109,8
110,11
111,13
112,15
113,8
114,12
115,10
116,9
117,3
118,8
119,9
120,11
121,8
122,9
123,10
124,13
125,9
126,9
127,4
128,14
129,8
130,8
131,7
132,12
133,8
134,7
135,9
136,9
137,9
138,3
139,13
140,5
141,10
142,9
143,7
144,13
145,3
146,10
147,8
148,9
149,5
150,5
151,8
152,7
153,9
154,5
155,5
156,7
157,7
158,7
159,7
160,4
161,11
162,8
163,6
164,6
165,11
166,6
167,2
168,5
169,6
170,5
171,7
172,7
173,2
174,13
175,10
176,9
177,12
178,4
179,4
180,5
181,7
182,3
183,7
184,5
185,1
186,8
187,5
188,5
189,3
190,7
191,5
192,1
193,8
194,3
195,2
196,8
197,4
198,6
199,2
200,6
201,7
202,5
203,5
204,3
205,9
206,6
207,11
208,4
209,7
210,5
211,5
212,10
213,5
214,5
215,7
216,7
217,11
218,8
219,6
220,6
221,3
222,2
223,7
224,5
225,6
226,6
227,6
228,3
229,3
230,9
231,12
232,7
233,7
234,9
235,7
236,3
237,0
238,4
239,4
240,6
241,9
242,4
243,7
244,9
245,2
246,6
247,11
248,7
249,7
250,5
251,4
252,6
253,3
254,3
255,6
256,6
257,4
258,5
259,10
260,4
261,1
262,2
263,9
264,4
265,1
266,2
267,4
268,4
269,5
270,4
271,4
272,2
273,4
274,1
275,6
276,2
277,6
278,11
279,6
280,7
281,4
282,5
283,1
284,4
285,8
286,3
287,9
288,5
289,3
290,6
291,5
292,5
293,6
294,7
295,4
296,8
297,4
298,8
299,7
300,6
301,9
302,4
303,12
304,11
305,8
306,5
307,4
308,5
309,9
310,7
311,7
312,6
313,8
314,6
315,10
316,10
317,6
318,9
319,2
320,7
321,7
322,10
323,7
324,5
325,4
326,7
327,6
328,6
329,7
330,6
331,13
332,8
333,9
334,7
335,3
336,5
337,2
338,5
339,9
340,4
341,6
342,6
343,7
344,7
345,9
346,5
347,8
348,8
349,10
350,7
351,9
352,6
353,6
354,13
355,11
356,13
357,7
358,10
359,11
360,18
361,14
362,13
363,15
364,21
365,18
366,26
367,37
368,43
369,52
370,46
371,63
372,71
373,80
374,69
375,88
376,91
377,95
378,99
379,107
380,98
381,95
382,112
383,130
384,129
385,120
386,132
387,133
388,129
389,128
390,117
391,123
392,134
393,111
394,105
395,78
396,91
397,79
398,53
399,55
400,65
401,52
402,35
403,45
404,20
405,29
406,19
407,19
408,15
409,16
410,18
411,20
412,20
413,7
414,17
415,12
416,12
417,15
418,14
419,10
420,16
421,5
422,9
423,12
424,7
425,11
426,13
427,6
428,9
429,10
430,9
431,6
432,8
433,7
434,4
435,14
436,10
437,3
438,5
439,5
440,3
441,3
442,4
443,7
444,7
445,3
446,4
447,1
448,5
449,5
450,4
451,2
452,4
453,6
454,6
455,2
456,7
457,3
458,0
459,6
460,2
461,2
462,3
463,3
464,7
465,2
466,1
467,6
468,2
469,6
470,3
471,3
472,2
473,2
474,3
475,4
476,6
477,5
478,2
479,4
480,2
481,4
482,2
483,5
484,7
485,3
486,3
487,5
488,3
489,9
490,3
491,4
492,5
493,3
494,2
495,3
496,2
497,3
498,0
499,3
500,3
501,6
502,4
503,1
504,2
505,6
506,2
507,2
508,7
509,3
510,3
511,9
