channel,counts
0,3696608
1,643
2,449
3,323
4,242
5,184628
6,290299
7,291490
8,246128
9,201735
10,170568
11,150979
12,136494
13,125531
14,116958
15,109335
16,102399
17,97733
18,92328
19,88047
20,84428
21,80191
22,76639
23,72213
24,68192
25,64889
26,61676
27,58422
28,55946
29,53062
30,50642
31,48679
32,46258
33,44255
34,41483
35,38892
36,36200
37,33665
38,30840
39,28504
40,26182
41,23838
42,22151
43,20725
44,18949
45,17633
46,15974
47,14858
48,13410
49,12494
50,11473
51,10844
52,9910
53,9005
54,8216
55,7556
56,6887
57,6426
58,5837
59,5169
60,5005
61,4535
62,4200
63,3725
64,3568
65,3243
66,2877
67,2667
68,2513
69,2328
70,2026
71,1871
72,1674
73,1615
74,1378
75,1297
76,1167
77,1049
78,975
79,932
80,845
81,712
82,708
83,662
84,541
85,532
86,464
87,469
88,421
89,347
90,361
91,311
92,274
93,269
94,226
95,250
96,177
97,167
98,125
99,147
100,130
101,132
102,106
103,98
104,85
105,98
106,66
107,86
108,67
109,64
110,42
111,46
112,46
113,56
114,40
115,27
116,31
117,29
118,27
119,24
120,13
121,19
122,24
123,21
124,15
125,11
126,20
127,14
128,20
129,8
130,11
131,4
132,7
133,18
134,9
135,4
136,10
137,7
138,12
139,6
140,3
141,8
142,4
143,5
144,6
145,4
146,5
147,5
148,3
149,5
150,3
151,3
152,3
153,7
154,7
155,4
156,1
157,5
158,7
159,3
160,8
161,6
162,4
163,5
164,2
165,1
166,1
167,2
168,1
169,2
170,3
171,2
172,9
173,7
174,6
175,4
176,5
177,9
178,2
179,3
180,1
181,2
182,4
183,1
184,4
185,5
186,3
187,3
188,4
189,1
190,3
191,5
192,4
193,2
194,2
195,1
196,5
197,4
198,10
199,1
200,5
201,2
202,3
203,3
204,5
205,0
206,4
207,3
208,6
209,1
210,7
211,6
212,3
213,4
214,3
215,3
216,0
217,1
218,4
219,2
220,2
221,4
222,3
223,2
224,3
225,4
226,0
227,2
228,5
229,1
230,0
231,3
232,2
233,5
234,5
235,2
236,5
237,5
238,3
239,6
240,0
241,1
242,5
243,6
244,0
245,3
246,4
247,4
248,2
249,5
250,2
251,4
252,3
253,2
254,2
255,9
256,3
257,1
258,2
259,6
260,0
261,1
262,3
263,3
264,2
265,5
266,2
267,5
268,0
269,0
270,1
271,4
272,1
273,1
274,2
275,2
276,1
277,3
278,2
279,1
280,3
281,2
282,4
283,2
284,3
285,8
286,1
287,2
288,5
289,3
290,1
291,3
292,0
293,1
294,2
295,8
296,3
297,1
298,3
299,2
300,3
301,5
302,4
303,2
304,3
305,4
306,7
307,3
308,4
309,7
310,7
311,4
312,0
313,2
314,6
315,2
316,5
317,3
318,6
319,2
320,4
321,5
322,1
323,2
324,3
325,1
326,2
327,3
328,3
329,5
330,2
331,3
332,3
333,3
334,3
335,2
336,4
337,4
338,1
339,7
340,1
341,0
342,3
343,2
344,5
345,4
346,2
347,0
348,4
349,3
350,5
351,3
352,4
353,3
354,6
355,2
356,6
357,6
358,11
359,7
360,9
361,10
362,13
363,9
364,16
365,15
366,29
367,18
368,31
369,24
370,36
371,40
372,30
373,44
374,48
375,51
376,53
377,70
378,50
379,66
380,72
381,72
382,105
383,83
384,73
385,64
386,89
387,84
388,84
389,70
390,95
391,88
392,69
393,62
394,66
395,68
396,82
397,69
398,54
399,47
400,46
401,32
402,14
403,18
404,18
405,18
406,14
407,13
408,10
409,11
410,8
411,8
412,12
413,5
414,10
415,7
416,9
417,9
418,5
419,7
420,5
421,7
422,2
423,5
424,0
425,4
426,3
427,4
428,5
429,5
430,0
431,7
432,3
433,2
434,1
435,1
436,5
437,3
438,0
439,3
440,4
441,4
442,2
443,2
444,3
445,2
446,1
447,2
448,4
449,3
450,2
451,2
452,3
453,1
454,1
455,3
456,2
457,2
458,0
459,2
460,1
461,2
462,2
463,0
464,0
465,1
466,1
467,0
468,1
469,2
470,2
471,1
472,2
473,2
474,1
475,2
476,1
477,5
478,3
479,3
480,0
481,2
482,1
483,0
484,5
485,1
486,1
487,1
488,1
489,3
490,2
491,2
492,3
493,1
494,1
495,4
496,2
497,7
498,4
499,3
500,2
501,1
502,3
503,0
504,0
505,2
506,3
507,2
508,0
509,2
510,0
511,3
