channel,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,336
11,345
12,179
13,124
14,111
15,90
16,64
17,67
18,59
19,51
20,62
21,45
22,43
23,51
24,54
25,50
26,43
27,47
28,54
29,34
30,36
31,34
32,43
33,39
34,39
35,37
36,37
37,51
38,38
39,35
40,33
41,34
42,34
43,41
44,39
45,30
46,35
47,26
48,32
49,25
50,20
51,30
52,15
53,21
54,25
55,24
56,27
57,27
58,25
59,24
60,34
61,33
62,35
63,31
64,28
65,26
66,38
67,31
68,32
69,38
70,30
71,35
72,20
73,25
74,39
75,28
76,31
77,25
78,37
79,37
80,34
81,30
82,30
83,38
84,46
85,41
86,41
87,46
88,51
89,38
90,48
91,52
92,71
93,92
94,103
95,132
96,165
97,174
98,158
99,183
100,209
101,177
102,195
103,187
104,196
105,179
106,194
107,173
108,168
109,166
110,187
111,184
112,171
113,168
114,185
115,176
116,173
117,168
118,191
119,201
120,151
121,170
122,164
123,147
124,154
125,154
126,142
127,167
128,141
129,136
130,130
131,136
132,157
133,161
134,142
135,134
136,145
137,153
138,155
139,150
140,147
141,121
142,135
143,157
144,159
145,154
146,131
147,139
148,134
149,119
150,128
151,141
152,154
153,128
154,130
155,135
156,134
157,139
158,140
159,139
160,156
161,116
162,127
163,126
164,109
165,118
166,126
167,130
168,114
169,124
170,110
171,108
172,120
173,134
174,128
175,126
176,113
177,112
178,108
179,111
180,102
181,134
182,116
183,110
184,122
185,110
186,129
187,117
188,116
189,130
190,124
191,106
192,116
193,95
194,122
195,100
196,114
197,104
198,95
199,113
200,117
201,82
202,105
203,125
204,106
205,110
206,121
207,107
208,107
209,104
210,99
211,105
212,118
213,107
214,99
215,98
216,117
217,115
218,100
219,115
220,100
221,126
222,102
223,94
224,119
225,92
226,127
227,92
228,110
229,142
230,106
231,87
232,95
233,117
234,100
235,109
236,96
237,104
238,105
239,94
240,114
241,74
242,109
243,95
244,93
245,87
246,91
247,95
248,116
249,109
250,111
251,114
252,119
253,94
254,102
255,95
256,94
257,107
258,89
259,98
260,98
261,109
262,108
263,112
264,126
265,97
266,94
267,118
268,82
269,117
270,119
271,111
272,104
273,97
274,115
275,94
276,125
277,122
278,124
279,131
280,126
281,111
282,134
283,105
284,137
285,139
286,117
287,133
288,129
289,153
290,152
291,164
292,174
293,169
294,164
295,169
296,159
297,184
298,164
299,188
300,204
301,177
302,169
303,182
304,186
305,188
306,178
307,194
308,186
309,194
310,173
311,199
312,199
313,190
314,214
315,192
316,191
317,212
318,186
319,195
320,213
321,188
322,185
323,198
324,202
325,207
326,227
327,221
328,197
329,214
330,209
331,212
332,236
333,253
334,216
335,231
336,253
337,246
338,237
339,253
340,270
341,276
342,278
343,304
344,323
345,336
346,320
347,333
348,367
349,405
350,418
351,431
352,459
353,466
354,579
355,589
356,613
357,705
358,771
359,876
360,920
361,1058
362,1112
363,1254
364,1332
365,1438
366,1541
367,1630
368,1654
369,1799
370,1888
371,2008
372,2003
373,2183
374,2120
375,2311
376,2368
377,2417
378,2491
379,2515
380,2692
381,2769
382,2850
383,2807
384,2847
385,2831
386,2649
387,2597
388,2383
389,2215
390,1958
391,1717
392,1521
393,1203
394,975
395,708
396,498
397,381
398,248
399,172
400,117
401,81
402,53
403,54
404,62
405,33
406,41
407,41
408,30
409,29
410,42
411,33
412,41
413,30
414,28
415,30
416,28
417,30
418,36
419,33
420,25
421,29
422,30
423,26
424,29
425,23
426,33
427,21
428,22
429,29
430,23
431,19
432,31
433,31
434,19
435,18
436,25
437,25
438,25
439,24
440,10
441,23
442,23
443,20
444,23
445,28
446,32
447,18
448,25
449,21
450,16
451,32
452,21
453,17
454,26
455,21
456,23
457,18
458,16
459,17
460,17
461,14
462,19
463,25
464,20
465,15
466,21
467,16
468,20
469,18
470,12
471,20
472,15
473,21
474,15
475,12
476,19
477,11
478,11
479,22
480,12
481,15
482,11
483,12
484,16
485,15
486,17
487,12
488,16
489,16
490,14
491,15
492,15
493,21
494,17
495,16
496,12
497,18
498,16
499,15
500,17
501,18
502,12
503,10
504,17
505,14
506,16
507,11
508,14
509,13
510,7
511,8
