channel,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,16395
11,21947
12,19876
13,18281
14,16920
15,15735
16,14470
17,13624
18,12448
19,11938
20,11400
21,10370
22,9797
23,9328
24,8717
25,8391
26,8079
27,7624
28,7199
29,7206
30,6771
31,6375
32,6348
33,6070
34,5609
35,5226
36,5030
37,4732
38,4274
39,3972
40,3682
41,3429
42,3280
43,2922
44,2770
45,2601
46,2328
47,2154
48,2092
49,1898
50,1796
51,1651
52,1525
53,1411
54,1262
55,1136
56,1113
57,1015
58,862
59,885
60,784
61,738
62,671
63,595
64,569
65,540
66,481
67,471
68,395
69,372
70,360
71,343
72,271
73,266
74,213
75,233
76,215
77,174
78,161
79,155
80,129
81,134
82,109
83,100
84,114
85,72
86,80
87,74
88,74
89,56
90,65
91,53
92,55
93,63
94,38
95,45
96,30
97,26
98,26
99,16
100,27
101,15
102,17
103,9
104,22
105,15
106,16
107,13
108,12
109,8
110,15
111,5
112,9
113,12
114,5
115,9
116,10
117,5
118,4
119,4
120,3
121,2
122,4
123,3
124,1
125,2
126,2
127,2
128,4
129,0
130,1
131,0
132,2
133,0
134,0
135,1
136,0
137,2
138,1
139,0
140,0
141,1
142,0
143,0
144,0
145,0
146,2
147,0
148,0
149,1
150,0
151,0
152,1
153,0
154,1
155,1
156,0
157,3
158,0
159,1
160,3
161,0
162,0
163,0
164,1
165,1
166,1
167,0
168,2
169,0
170,0
171,1
172,1
173,0
174,0
175,0
176,0
177,0
178,1
179,1
180,0
181,0
182,1
183,0
184,1
185,0
186,0
187,0
188,0
189,0
190,0
191,1
192,1
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,2
204,0
205,0
206,1
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,1
215,1
216,0
217,0
218,0
219,0
220,1
221,0
222,0
223,0
224,1
225,1
226,0
227,0
228,0
229,0
230,0
231,1
232,0
233,0
234,1
235,0
236,0
237,0
238,0
239,0
240,1
241,0
242,1
243,1
244,1
245,0
246,0
247,1
248,0
249,0
250,1
251,1
252,0
253,1
254,0
255,0
256,0
257,0
258,1
259,1
260,1
261,0
262,0
263,0
264,0
265,1
266,1
267,0
268,1
269,0
270,0
271,1
272,0
273,0
274,1
275,0
276,1
277,1
278,0
279,3
280,1
281,0
282,0
283,2
284,1
285,0
286,0
287,0
288,0
289,0
290,1
291,0
292,0
293,0
294,0
295,1
296,0
297,2
298,1
299,1
300,1
301,1
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,2
311,0
312,0
313,1
314,1
315,1
316,3
317,1
318,0
319,0
320,1
321,0
322,1
323,0
324,2
325,1
326,1
327,2
328,2
329,1
330,1
331,1
332,1
333,2
334,1
335,1
336,1
337,0
338,2
339,2
340,1
341,2
342,0
343,1
344,0
345,0
346,0
347,1
348,2
349,1
350,1
351,2
352,0
353,1
354,2
355,2
356,3
357,0
358,1
359,5
360,4
361,7
362,1
363,6
364,4
365,5
366,4
367,2
368,1
369,4
370,4
371,11
372,7
373,12
374,8
375,5
376,14
377,14
378,1
379,9
380,10
381,6
382,7
383,12
384,16
385,12
386,12
387,8
388,16
389,12
390,8
391,9
392,12
393,17
394,13
395,9
396,15
397,10
398,10
399,9
400,5
401,5
402,3
403,1
404,0
405,2
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
