channel,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,21705
11,29257
12,26866
13,24105
14,21833
15,20406
16,18717
17,17488
18,16226
19,15297
20,14248
21,13702
22,12832
23,12213
24,11342
25,10743
26,10174
27,9644
28,9431
29,8771
30,8368
31,8114
32,7584
33,7402
34,7082
35,6308
36,5943
37,5519
38,5234
39,4871
40,4509
41,4114
42,3814
43,3515
44,3263
45,3073
46,2806
47,2664
48,2478
49,2238
50,2093
51,1929
52,1824
53,1668
54,1460
55,1416
56,1358
57,1253
58,1089
59,1104
60,953
61,905
62,794
63,720
64,650
65,605
66,577
67,575
68,495
69,443
70,409
71,412
72,368
73,329
74,332
75,293
76,247
77,240
78,228
79,188
80,184
81,184
82,177
83,144
84,143
85,129
86,115
87,110
88,94
89,95
90,82
91,64
92,75
93,70
94,62
95,62
96,52
97,57
98,38
99,48
100,38
101,46
102,32
103,32
104,37
105,40
106,18
107,23
108,29
109,27
110,30
111,21
112,10
113,14
114,21
115,16
116,24
117,22
118,8
119,11
120,12
121,15
122,10
123,9
124,12
125,13
126,10
127,15
128,9
129,11
130,15
131,11
132,14
133,11
134,4
135,12
136,9
137,9
138,11
139,16
140,9
141,6
142,0
143,9
144,6
145,12
146,9
147,5
148,8
149,12
150,10
151,18
152,5
153,8
154,6
155,10
156,8
157,11
158,4
159,2
160,3
161,2
162,8
163,4
164,3
165,10
166,11
167,9
168,11
169,9
170,5
171,5
172,0
173,0
174,4
175,5
176,4
177,5
178,7
179,7
180,5
181,3
182,8
183,7
184,4
185,3
186,3
187,8
188,2
189,5
190,0
191,14
192,3
193,0
194,7
195,3
196,1
197,5
198,7
199,9
200,11
201,5
202,0
203,1
204,0
205,3
206,10
207,0
208,5
209,3
210,4
211,9
212,4
213,1
214,4
215,2
216,3
217,1
218,6
219,1
220,2
221,3
222,2
223,5
224,5
225,0
226,0
227,0
228,7
229,1
230,5
231,0
232,0
233,0
234,9
235,1
236,4
237,8
238,2
239,0
240,4
241,2
242,6
243,1
244,9
245,1
246,0
247,0
248,5
249,0
250,1
251,1
252,0
253,10
254,5
255,7
256,5
257,5
258,7
259,0
260,1
261,6
262,4
263,5
264,5
265,2
266,1
267,5
268,2
269,1
270,2
271,0
272,7
273,3
274,2
275,5
276,0
277,1
278,5
279,7
280,0
281,1
282,1
283,2
284,3
285,2
286,0
287,1
288,0
289,3
290,8
291,4
292,7
293,4
294,0
295,6
296,5
297,2
298,5
299,7
300,3
301,1
302,4
303,6
304,0
305,0
306,0
307,0
308,4
309,2
310,2
311,5
312,0
313,0
314,0
315,4
316,1
317,0
318,0
319,0
320,5
321,0
322,4
323,5
324,0
325,3
326,4
327,5
328,4
329,0
330,2
331,0
332,1
333,2
334,5
335,1
336,7
337,3
338,4
339,6
340,4
341,1
342,4
343,3
344,1
345,3
346,0
347,9
348,4
349,4
350,4
351,10
352,4
353,5
354,3
355,0
356,5
357,1
358,12
359,8
360,6
361,13
362,2
363,6
364,9
365,7
366,11
367,13
368,12
369,4
370,7
371,19
372,22
373,17
374,26
375,27
376,11
377,16
378,22
379,21
380,23
381,19
382,19
383,32
384,28
385,25
386,30
387,30
388,31
389,24
390,30
391,26
392,20
393,41
394,18
395,34
396,25
397,8
398,16
399,9
400,12
401,8
402,3
403,4
404,2
405,0
406,2
407,0
408,0
409,1
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
