channel,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,3752
11,4954
12,4379
13,4006
14,3572
15,3333
16,3154
17,2828
18,2655
19,2413
20,2250
21,2131
22,2036
23,1911
24,1799
25,1738
26,1621
27,1567
28,1536
29,1512
30,1359
31,1345
32,1203
33,1177
34,1175
35,1091
36,1004
37,947
38,823
39,757
40,744
41,720
42,692
43,662
44,624
45,598
46,528
47,497
48,475
49,462
50,426
51,395
52,365
53,385
54,341
55,330
56,292
57,275
58,250
59,271
60,249
61,248
62,205
63,204
64,188
65,198
66,172
67,177
68,161
69,147
70,156
71,141
72,152
73,139
74,135
75,137
76,114
77,138
78,98
79,115
80,125
81,119
82,78
83,95
84,82
85,92
86,95
87,85
88,91
89,78
90,87
91,85
92,95
93,81
94,70
95,66
96,71
97,77
98,68
99,59
100,62
101,81
102,59
103,74
104,61
105,60
106,57
107,72
108,54
109,66
110,64
111,49
112,74
113,47
114,65
115,47
116,59
117,59
118,39
119,36
120,61
121,59
122,39
123,43
124,52
125,49
126,44
127,61
128,48
129,38
130,47
131,45
132,51
133,45
134,39
135,31
136,25
137,43
138,37
139,34
140,36
141,51
142,45
143,49
144,46
145,29
146,32
147,45
148,26
149,39
150,50
151,45
152,27
153,41
154,28
155,39
156,19
157,38
158,31
159,20
160,32
161,40
162,35
163,45
164,43
165,25
166,42
167,34
168,38
169,24
170,33
171,33
172,39
173,45
174,37
175,38
176,26
177,33
178,20
179,24
180,31
181,23
182,25
183,35
184,22
185,40
186,32
187,28
188,29
189,21
190,12
191,18
192,28
193,29
194,31
195,24
196,20
197,31
198,25
199,39
200,21
201,31
202,24
203,27
204,35
205,14
206,23
207,20
208,22
209,19
210,10
211,29
212,28
213,18
214,22
215,18
216,26
217,20
218,19
219,16
220,15
221,18
222,14
223,9
224,17
225,21
226,17
227,26
228,24
229,20
230,24
231,19
232,18
233,18
234,10
235,13
236,21
237,10
238,20
239,17
240,10
241,13
242,13
243,27
244,15
245,21
246,23
247,11
248,17
249,21
250,24
251,17
252,14
253,16
254,14
255,24
256,14
257,19
258,17
259,21
260,8
261,16
262,12
263,23
264,6
265,5
266,14
267,12
268,21
269,12
270,5
271,15
272,22
273,21
274,15
275,15
276,19
277,12
278,11
279,11
280,9
281,18
282,12
283,8
284,9
285,10
286,14
287,8
288,7
289,12
290,6
291,7
292,15
293,5
294,15
295,14
296,16
297,11
298,8
299,10
300,6
301,7
302,7
303,15
304,9
305,6
306,15
307,14
308,9
309,1
310,9
311,19
312,10
313,10
314,14
315,6
316,19
317,5
318,10
319,12
320,5
321,11
322,5
323,16
324,8
325,7
326,14
327,9
328,6
329,9
330,6
331,3
332,5
333,7
334,16
335,18
336,13
337,17
338,9
339,7
340,7
341,14
342,1
343,6
344,5
345,1
346,7
347,6
348,0
349,9
350,14
351,0
352,6
353,18
354,0
355,12
356,14
357,3
358,9
359,12
360,17
361,20
362,7
363,14
364,6
365,8
366,13
367,20
368,12
369,13
370,11
371,14
372,20
373,29
374,12
375,21
376,38
377,15
378,17
379,13
380,10
381,33
382,40
383,26
384,20
385,27
386,33
387,32
388,31
389,44
390,22
391,30
392,31
393,41
394,28
395,42
396,36
397,38
398,35
399,35
400,21
401,18
402,26
403,28
404,24
405,14
406,20
407,2
408,5
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
