channel,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,2
11,6
12,1
13,1
14,2
15,3
16,2
17,3
18,2
19,1
20,3
21,4
22,5
23,0
24,3
25,2
26,3
27,0
28,0
29,1
30,3
31,2
32,1
33,2
34,0
35,3
36,1
37,2
38,0
39,1
40,1
41,1
42,1
43,1
44,1
45,0
46,2
47,0
48,0
49,1
50,0
51,1
52,2
53,0
54,1
55,1
56,1
57,1
58,0
59,2
60,0
61,1
62,1
63,0
64,0
65,1
66,1
67,0
68,0
69,1
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,2
80,0
81,1
82,1
83,0
84,1
85,1
86,0
87,0
88,0
89,1
90,0
91,0
92,0
93,1
94,1
95,2
96,0
97,1
98,1
99,0
100,1
101,2
102,1
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,1
115,0
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,1
124,2
125,0
126,0
127,0
128,0
129,1
130,0
131,0
132,0
133,1
134,1
135,1
136,0
137,0
138,0
139,3
140,1
141,1
142,0
143,0
144,0
145,1
146,1
147,0
148,1
149,0
150,0
151,1
152,1
153,0
154,0
155,0
156,0
157,0
158,0
159,1
160,0
161,2
162,1
163,0
164,1
165,3
166,0
167,0
168,2
169,0
170,0
171,1
172,0
173,1
174,1
175,0
176,1
177,0
178,1
179,0
180,0
181,0
182,1
183,0
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,0
192,3
193,0
194,1
195,0
196,0
197,3
198,0
199,0
200,0
201,1
202,0
203,0
204,1
205,2
206,2
207,0
208,1
209,0
210,2
211,2
212,0
213,0
214,1
215,0
216,2
217,0
218,0
219,1
220,0
221,2
222,0
223,0
224,0
225,0
226,0
227,2
228,0
229,0
230,1
231,0
232,0
233,1
234,1
235,0
236,0
237,1
238,0
239,0
240,1
241,0
242,1
243,1
244,1
245,0
246,1
247,2
248,1
249,1
250,0
251,0
252,0
253,0
254,1
255,1
256,1
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,1
266,0
267,1
268,0
269,0
270,0
271,1
272,1
273,0
274,0
275,0
276,0
277,0
278,1
279,0
280,1
281,1
282,1
283,0
284,1
285,1
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,1
296,0
297,0
298,1
299,1
300,1
301,1
302,0
303,0
304,0
305,0
306,1
307,1
308,0
309,0
310,0
311,1
312,0
313,1
314,1
315,0
316,0
317,0
318,0
319,1
320,0
321,0
322,1
323,2
324,0
325,0
326,0
327,1
328,1
329,0
330,1
331,0
332,1
333,0
334,0
335,1
336,0
337,0
338,0
339,0
340,1
341,0
342,1
343,0
344,0
345,2
346,0
347,0
348,0
349,1
350,1
351,0
352,0
353,0
354,0
355,1
356,1
357,1
358,0
359,1
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,2
368,1
369,0
370,0
371,0
372,1
373,0
374,1
375,0
376,1
377,0
378,0
379,0
380,1
381,0
382,0
383,2
384,0
385,0
386,1
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,1
397,1
398,0
399,0
400,0
401,1
402,0
403,0
404,0
405,0
406,1
407,0
408,1
409,0
410,1
411,0
412,0
413,1
414,0
415,1
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,1
424,0
425,0
426,0
427,0
428,1
429,0
430,0
431,0
432,0
433,0
434,1
435,0
436,0
437,0
438,1
439,2
440,0
441,0
442,2
443,0
444,0
445,1
446,0
447,0
448,0
449,0
450,0
451,1
452,1
453,1
454,1
455,0
456,0
457,0
458,0
459,0
460,0
461,1
462,0
463,0
464,0
465,1
466,0
467,1
468,1
469,0
470,0
471,0
472,1
473,0
474,1
475,2
476,1
477,1
478,0
479,0
480,2
481,0
482,1
483,0
484,0
485,0
486,0
487,0
488,1
489,0
490,0
491,0
492,0
493,1
494,1
495,0
496,0
497,0
498,1
499,0
500,0
501,0
502,1
503,0
504,0
505,1
506,0
507,1
508,0
509,1
510,0
511,0
