channel,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,10421
11,12940
12,10650
13,8939
14,7662
15,6828
16,6176
17,5708
18,5267
19,4981
20,4718
21,4402
22,4237
23,3913
24,3751
25,3607
26,3294
27,3209
28,3010
29,2932
30,2808
31,2647
32,2616
33,2481
34,2408
35,2416
36,2289
37,2150
38,2015
39,2082
40,1906
41,1864
42,1764
43,1803
44,1699
45,1631
46,1594
47,1531
48,1501
49,1433
50,1410
51,1348
52,1301
53,1225
54,1175
55,1184
56,1109
57,1061
58,960
59,951
60,890
61,859
62,827
63,808
64,687
65,704
66,665
67,616
68,565
69,594
70,524
71,539
72,464
73,427
74,427
75,429
76,417
77,365
78,359
79,335
80,294
81,288
82,300
83,251
84,291
85,275
86,272
87,224
88,220
89,183
90,173
91,187
92,188
93,181
94,156
95,162
96,138
97,144
98,132
99,137
100,118
101,125
102,89
103,95
104,93
105,98
106,85
107,73
108,85
109,88
110,82
111,55
112,63
113,50
114,42
115,71
116,58
117,40
118,37
119,39
120,41
121,50
122,34
123,40
124,31
125,39
126,30
127,19
128,22
129,18
130,19
131,25
132,28
133,19
134,24
135,19
136,23
137,26
138,23
139,11
140,15
141,6
142,15
143,17
144,8
145,15
146,13
147,7
148,14
149,11
150,10
151,8
152,12
153,10
154,4
155,9
156,6
157,7
158,7
159,7
160,7
161,9
162,10
163,3
164,4
165,6
166,5
167,9
168,6
169,3
170,5
171,3
172,2
173,4
174,5
175,3
176,2
177,4
178,1
179,3
180,3
181,5
182,3
183,4
184,0
185,3
186,2
187,1
188,4
189,3
190,1
191,2
192,3
193,3
194,0
195,1
196,1
197,4
198,1
199,1
200,1
201,1
202,4
203,1
204,3
205,2
206,3
207,1
208,3
209,3
210,2
211,1
212,1
213,3
214,2
215,2
216,2
217,4
218,0
219,0
220,3
221,1
222,3
223,1
224,0
225,2
226,1
227,1
228,2
229,1
230,0
231,2
232,0
233,0
234,3
235,1
236,0
237,4
238,1
239,1
240,1
241,2
242,1
243,4
244,1
245,1
246,2
247,1
248,4
249,1
250,1
251,1
252,1
253,2
254,2
255,1
256,4
257,1
258,5
259,2
260,3
261,1
262,0
263,0
264,4
265,2
266,0
267,0
268,3
269,1
270,0
271,1
272,3
273,2
274,1
275,2
276,1
277,2
278,1
279,0
280,1
281,2
282,1
283,1
284,2
285,2
286,1
287,1
288,2
289,1
290,1
291,2
292,0
293,0
294,1
295,0
296,2
297,1
298,0
299,2
300,1
301,0
302,1
303,0
304,3
305,0
306,0
307,1
308,1
309,4
310,2
311,1
312,1
313,3
314,0
315,0
316,0
317,0
318,2
319,0
320,1
321,4
322,2
323,0
324,2
325,2
326,0
327,0
328,6
329,0
330,0
331,1
332,2
333,1
334,0
335,0
336,2
337,1
338,1
339,1
340,2
341,1
342,1
343,0
344,1
345,0
346,1
347,0
348,1
349,1
350,1
351,0
352,2
353,0
354,2
355,0
356,1
357,2
358,0
359,1
360,1
361,2
362,1
363,0
364,0
365,0
366,0
367,1
368,1
369,0
370,3
371,4
372,0
373,1
374,1
375,2
376,1
377,0
378,0
379,1
380,0
381,2
382,2
383,1
384,0
385,1
386,1
387,3
388,2
389,4
390,2
391,0
392,0
393,1
394,2
395,2
396,2
397,1
398,2
399,0
400,2
401,1
402,1
403,0
404,0
405,3
406,2
407,0
408,1
409,0
410,3
411,2
412,2
413,1
414,1
415,2
416,1
417,0
418,1
419,4
420,2
421,3
422,1
423,1
424,2
425,0
426,0
427,1
428,1
429,1
430,3
431,0
432,1
433,0
434,1
435,1
436,1
437,0
438,1
439,1
440,0
441,1
442,1
443,1
444,1
445,0
446,2
447,1
448,2
449,1
450,0
451,1
452,2
453,1
454,2
455,0
456,2
457,1
458,1
459,0
460,0
461,0
462,0
463,1
464,1
465,2
466,1
467,2
468,0
469,0
470,2
471,4
472,1
473,2
474,3
475,0
476,0
477,2
478,2
479,3
480,3
481,1
482,0
483,4
484,1
485,2
486,2
487,2
488,2
489,3
490,0
491,2
492,3
493,1
494,3
495,1
496,1
497,3
498,3
499,0
500,3
501,3
502,2
503,2
504,4
505,6
506,1
507,2
508,3
509,2
510,2
511,0
