channel,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,7180
11,10074
12,9071
13,8222
14,7536
15,6838
16,6503
17,5984
18,5819
19,5389
20,5116
21,4864
22,4580
23,4449
24,4128
25,3883
26,3768
27,3465
28,3418
29,3190
30,3091
31,2961
32,2813
33,2663
34,2554
35,2316
36,2161
37,2081
38,1841
39,1769
40,1574
41,1523
42,1405
43,1235
44,1145
45,1019
46,961
47,938
48,891
49,781
50,733
51,640
52,639
53,583
54,506
55,490
56,441
57,429
58,407
59,349
60,332
61,296
62,264
63,245
64,274
65,204
66,178
67,173
68,165
69,128
70,136
71,126
72,113
73,114
74,105
75,86
76,90
77,79
78,77
79,62
80,60
81,44
82,45
83,34
84,37
85,32
86,41
87,33
88,34
89,22
90,25
91,27
92,20
93,24
94,26
95,20
96,11
97,13
98,14
99,10
100,13
101,5
102,6
103,9
104,8
105,7
106,9
107,7
108,3
109,2
110,2
111,5
112,3
113,2
114,1
115,4
116,6
117,5
118,2
119,1
120,2
121,0
122,2
123,1
124,1
125,2
126,0
127,1
128,1
129,1
130,0
131,0
132,2
133,2
134,2
135,0
136,1
137,1
138,2
139,2
140,0
141,1
142,0
143,0
144,1
145,1
146,0
147,0
148,1
149,0
150,0
151,0
152,0
153,1
154,1
155,0
156,0
157,1
158,1
159,0
160,0
161,1
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,2
170,0
171,2
172,0
173,1
174,0
175,0
176,1
177,2
178,0
179,0
180,1
181,0
182,0
183,1
184,0
185,0
186,1
187,0
188,1
189,0
190,1
191,0
192,1
193,0
194,0
195,0
196,0
197,2
198,0
199,0
200,0
201,0
202,1
203,0
204,0
205,0
206,0
207,2
208,0
209,0
210,1
211,0
212,1
213,0
214,0
215,1
216,0
217,0
218,0
219,1
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,2
239,0
240,0
241,0
242,0
243,0
244,1
245,0
246,0
247,1
248,2
249,0
250,0
251,1
252,0
253,0
254,1
255,0
256,1
257,0
258,0
259,0
260,0
261,0
262,0
263,1
264,0
265,1
266,1
267,0
268,1
269,2
270,1
271,0
272,2
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,1
285,2
286,0
287,2
288,0
289,0
290,0
291,1
292,0
293,0
294,1
295,1
296,0
297,0
298,0
299,1
300,0
301,1
302,1
303,0
304,2
305,1
306,0
307,0
308,0
309,2
310,0
311,1
312,0
313,1
314,2
315,0
316,1
317,1
318,1
319,0
320,1
321,1
322,1
323,0
324,0
325,0
326,0
327,1
328,1
329,0
330,0
331,1
332,0
333,0
334,0
335,1
336,1
337,0
338,0
339,2
340,0
341,2
342,3
343,0
344,1
345,1
346,0
347,0
348,0
349,0
350,2
351,1
352,1
353,0
354,0
355,2
356,0
357,1
358,1
359,3
360,1
361,1
362,2
363,3
364,1
365,3
366,1
367,3
368,4
369,4
370,1
371,2
372,4
373,7
374,3
375,2
376,7
377,7
378,5
379,5
380,4
381,5
382,5
383,8
384,4
385,6
386,1
387,8
388,4
389,10
390,11
391,11
392,9
393,9
394,6
395,12
396,5
397,12
398,5
399,8
400,7
401,6
402,1
403,4
404,3
405,3
406,3
407,1
408,0
409,0
410,0
411,0
412,1
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,1
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,1
511,0
