channel,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,7411
11,10081
12,9104
13,8440
14,7683
15,6927
16,6446
17,6077
18,5690
19,5430
20,4989
21,4660
22,4512
23,4307
24,3968
25,3871
26,3651
27,3488
28,3279
29,3061
30,2927
31,2834
32,2672
33,2602
34,2411
35,2279
36,2110
37,1917
38,1818
39,1675
40,1542
41,1452
42,1275
43,1228
44,1144
45,1010
46,1002
47,910
48,831
49,761
50,738
51,638
52,655
53,555
54,545
55,528
56,562
57,448
58,461
59,358
60,396
61,352
62,298
63,301
64,250
65,250
66,220
67,235
68,189
69,193
70,190
71,139
72,157
73,153
74,158
75,126
76,123
77,131
78,95
79,127
80,93
81,106
82,77
83,94
84,72
85,77
86,71
87,83
88,72
89,57
90,60
91,78
92,60
93,49
94,53
95,57
96,55
97,53
98,60
99,62
100,52
101,50
102,56
103,46
104,29
105,42
106,31
107,30
108,40
109,26
110,39
111,37
112,35
113,36
114,34
115,34
116,25
117,45
118,35
119,40
120,27
121,32
122,24
123,28
124,22
125,30
126,24
127,17
128,11
129,39
130,25
131,27
132,30
133,30
134,30
135,15
136,27
137,31
138,16
139,34
140,18
141,17
142,24
143,24
144,14
145,27
146,27
147,16
148,22
149,14
150,18
151,20
152,25
153,19
154,20
155,28
156,31
157,26
158,30
159,20
160,30
161,10
162,22
163,40
164,22
165,21
166,22
167,12
168,26
169,40
170,20
171,18
172,24
173,16
174,19
175,24
176,17
177,16
178,22
179,14
180,14
181,25
182,23
183,17
184,22
185,16
186,19
187,15
188,13
189,25
190,14
191,22
192,13
193,10
194,13
195,21
196,11
197,24
198,15
199,15
200,17
201,21
202,20
203,6
204,19
205,12
206,11
207,20
208,12
209,13
210,9
211,13
212,4
213,12
214,18
215,16
216,17
217,12
218,13
219,19
220,13
221,6
222,10
223,12
224,8
225,8
226,11
227,20
228,11
229,10
230,10
231,6
232,14
233,14
234,9
235,17
236,7
237,7
238,14
239,20
240,10
241,5
242,18
243,10
244,13
245,11
246,19
247,10
248,16
249,9
250,8
251,11
252,11
253,2
254,15
255,8
256,5
257,11
258,10
259,11
260,15
261,11
262,15
263,10
264,5
265,10
266,14
267,9
268,0
269,11
270,1
271,12
272,8
273,9
274,8
275,15
276,13
277,15
278,12
279,9
280,8
281,12
282,14
283,11
284,11
285,18
286,9
287,4
288,6
289,7
290,13
291,7
292,17
293,9
294,9
295,12
296,6
297,7
298,18
299,7
300,9
301,9
302,1
303,7
304,7
305,2
306,12
307,9
308,5
309,9
310,7
311,11
312,16
313,3
314,9
315,5
316,3
317,9
318,14
319,11
320,0
321,8
322,0
323,9
324,7
325,9
326,8
327,11
328,3
329,5
330,9
331,6
332,11
333,10
334,4
335,10
336,3
337,1
338,4
339,4
340,0
341,5
342,4
343,5
344,3
345,5
346,5
347,5
348,16
349,12
350,2
351,0
352,7
353,13
354,1
355,0
356,10
357,3
358,8
359,0
360,12
361,4
362,1
363,8
364,2
365,3
366,0
367,9
368,5
369,5
370,0
371,2
372,14
373,5
374,14
375,13
376,12
377,4
378,15
379,26
380,4
381,9
382,15
383,16
384,16
385,15
386,18
387,8
388,22
389,9
390,20
391,28
392,21
393,16
394,17
395,20
396,26
397,16
398,16
399,21
400,18
401,20
402,10
403,11
404,12
405,12
406,9
407,14
408,5
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
