channel,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,6155
11,8496
12,7731
13,7255
14,6668
15,6219
16,5801
17,5389
18,4937
19,4746
20,4527
21,4284
22,4107
23,3877
24,3666
25,3514
26,3366
27,3168
28,3014
29,2885
30,2704
31,2646
32,2559
33,2400
34,2253
35,2112
36,1943
37,1787
38,1677
39,1543
40,1453
41,1301
42,1222
43,1116
44,1037
45,987
46,910
47,827
48,744
49,686
50,694
51,582
52,561
53,521
54,479
55,426
56,403
57,349
58,343
59,333
60,281
61,250
62,269
63,231
64,205
65,190
66,160
67,174
68,160
69,128
70,129
71,121
72,101
73,101
74,93
75,80
76,94
77,71
78,77
79,65
80,43
81,49
82,41
83,45
84,38
85,40
86,45
87,37
88,37
89,22
90,26
91,26
92,9
93,16
94,12
95,20
96,20
97,15
98,10
99,12
100,13
101,14
102,12
103,10
104,13
105,4
106,10
107,13
108,6
109,4
110,4
111,6
112,4
113,1
114,6
115,9
116,7
117,0
118,7
119,2
120,5
121,3
122,5
123,0
124,4
125,2
126,2
127,4
128,7
129,2
130,0
131,6
132,3
133,4
134,5
135,6
136,4
137,5
138,9
139,4
140,2
141,2
142,2
143,2
144,3
145,1
146,1
147,1
148,2
149,2
150,1
151,3
152,2
153,2
154,2
155,1
156,2
157,2
158,2
159,3
160,2
161,2
162,4
163,2
164,3
165,2
166,0
167,2
168,3
169,2
170,4
171,2
172,2
173,0
174,5
175,3
176,4
177,1
178,2
179,1
180,1
181,2
182,3
183,2
184,3
185,3
186,2
187,3
188,2
189,0
190,4
191,3
192,0
193,1
194,1
195,3
196,3
197,1
198,5
199,2
200,0
201,1
202,2
203,2
204,5
205,4
206,1
207,2
208,2
209,4
210,0
211,2
212,4
213,0
214,1
215,0
216,3
217,3
218,1
219,2
220,2
221,1
222,2
223,4
224,3
225,3
226,8
227,0
228,1
229,2
230,1
231,1
232,2
233,4
234,3
235,3
236,3
237,0
238,0
239,2
240,1
241,1
242,0
243,1
244,1
245,3
246,1
247,0
248,2
249,1
250,3
251,2
252,1
253,1
254,4
255,2
256,1
257,2
258,4
259,2
260,1
261,4
262,1
263,2
264,1
265,1
266,1
267,4
268,2
269,2
270,4
271,2
272,1
273,1
274,0
275,1
276,1
277,1
278,1
279,1
280,1
281,3
282,1
283,1
284,4
285,2
286,7
287,0
288,7
289,2
290,1
291,3
292,1
293,1
294,2
295,1
296,2
297,5
298,3
299,3
300,3
301,2
302,4
303,3
304,3
305,3
306,4
307,3
308,3
309,2
310,4
311,2
312,4
313,3
314,3
315,0
316,1
317,3
318,2
319,2
320,0
321,4
322,6
323,6
324,3
325,8
326,4
327,2
328,3
329,4
330,5
331,5
332,6
333,1
334,2
335,3
336,3
337,2
338,4
339,3
340,4
341,4
342,7
343,4
344,5
345,3
346,2
347,7
348,3
349,4
350,3
351,8
352,1
353,3
354,6
355,5
356,4
357,4
358,4
359,3
360,5
361,6
362,7
363,5
364,5
365,9
366,11
367,12
368,8
369,4
370,12
371,20
372,17
373,15
374,21
375,27
376,21
377,26
378,20
379,39
380,32
381,32
382,31
383,37
384,46
385,39
386,42
387,44
388,49
389,56
390,54
391,62
392,44
393,50
394,38
395,55
396,42
397,60
398,59
399,54
400,51
401,50
402,42
403,24
404,32
405,36
406,12
407,17
408,10
409,4
410,6
411,2
412,2
413,1
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,1
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,1
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
