channel,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1268
11,1682
12,1460
13,1269
14,1183
15,998
16,958
17,903
18,854
19,760
20,680
21,640
22,630
23,523
24,566
25,465
26,487
27,425
28,445
29,381
30,389
31,364
32,357
33,309
34,277
35,257
36,248
37,211
38,195
39,175
40,159
41,156
42,138
43,143
44,138
45,123
46,121
47,82
48,103
49,106
50,86
51,73
52,58
53,66
54,60
55,59
56,56
57,55
58,41
59,41
60,38
61,41
62,40
63,38
64,40
65,31
66,32
67,21
68,19
69,23
70,22
71,16
72,17
73,23
74,27
75,16
76,10
77,16
78,24
79,20
80,8
81,22
82,20
83,17
84,16
85,18
86,10
87,19
88,15
89,8
90,9
91,11
92,9
93,16
94,8
95,7
96,16
97,21
98,11
99,8
100,9
101,13
102,6
103,16
104,8
105,10
106,4
107,12
108,7
109,11
110,3
111,16
112,11
113,7
114,5
115,12
116,7
117,11
118,10
119,6
120,9
121,7
122,16
123,17
124,5
125,10
126,3
127,13
128,3
129,6
130,10
131,6
132,10
133,6
134,6
135,8
136,0
137,13
138,6
139,4
140,15
141,9
142,7
143,8
144,4
145,3
146,9
147,9
148,6
149,6
150,5
151,12
152,5
153,3
154,15
155,4
156,9
157,4
158,9
159,5
160,8
161,3
162,4
163,12
164,4
165,12
166,7
167,7
168,1
169,6
170,8
171,6
172,3
173,1
174,10
175,1
176,8
177,8
178,3
179,5
180,7
181,3
182,2
183,7
184,7
185,4
186,3
187,3
188,1
189,8
190,7
191,12
192,5
193,6
194,7
195,6
196,9
197,7
198,4
199,2
200,4
201,0
202,3
203,5
204,5
205,7
206,1
207,3
208,3
209,6
210,2
211,2
212,5
213,4
214,5
215,4
216,3
217,4
218,5
219,8
220,7
221,4
222,2
223,11
224,1
225,0
226,4
227,5
228,0
229,6
230,8
231,2
232,2
233,7
234,3
235,5
236,2
237,5
238,1
239,4
240,4
241,7
242,4
243,1
244,5
245,6
246,8
247,2
248,7
249,4
250,11
251,6
252,2
253,2
254,3
255,5
256,3
257,6
258,3
259,8
260,5
261,6
262,4
263,0
264,2
265,3
266,6
267,6
268,5
269,0
270,5
271,0
272,0
273,4
274,3
275,7
276,1
277,3
278,5
279,5
280,1
281,1
282,9
283,6
284,1
285,5
286,5
287,1
288,7
289,9
290,1
291,1
292,2
293,0
294,3
295,1
296,1
297,3
298,8
299,1
300,3
301,3
302,3
303,0
304,5
305,5
306,2
307,2
308,7
309,1
310,1
311,6
312,5
313,8
314,5
315,2
316,1
317,3
318,2
319,7
320,5
321,6
322,4
323,6
324,6
325,5
326,2
327,7
328,5
329,1
330,6
331,3
332,6
333,4
334,2
335,1
336,8
337,1
338,0
339,3
340,7
341,1
342,1
343,6
344,5
345,6
346,3
347,9
348,8
349,5
350,9
351,0
352,5
353,6
354,8
355,4
356,8
357,7
358,3
359,9
360,9
361,16
362,8
363,13
364,16
365,6
366,10
367,14
368,19
369,13
370,22
371,13
372,23
373,15
374,16
375,13
376,17
377,25
378,25
379,20
380,21
381,31
382,26
383,24
384,23
385,28
386,32
387,28
388,26
389,31
390,19
391,17
392,22
393,21
394,15
395,19
396,5
397,12
398,11
399,2
400,0
401,7
402,0
403,0
404,2
405,5
406,3
407,2
408,5
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
