detector,site,x,y
D1,地上,0.0,1.0
D2,地上,0.0,0.7094142656493186
d2,地上,0.0,0.9995216945678169
D1,PF,105.0,0.43428083361803893
D2,PF,105.0,0.359196750559921
D1,BT,189.13043478260875,0.2165045742702046
d2,BT,189.13043478260875,0.11265079907375775
D1,Linac3,300.0,0.2106054739399461
D2,Linac3,300.0,0.2105933265003986
d1,Linac3,300.0,0.23022814409900164
d2,Linac3,300.0,0.1265102683824925
D1,PS,480.00000000000006,0.10162472003947917
d1,PS,480.00000000000006,0.22423338268230647
D1,KEKB,525.4347826086957,0.09336142428728696
d2,KEKB,525.4347826086957,0.0715503169722507
D2,linacIRON,728.2608695652175,0.534826709182705
d2,linacIRON,728.2608695652175,0.42779713775955663
literature,上岡,80341.3043478261,0.00592187677941009
