channel,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,21711
11,29263
12,26872
13,24111
14,21839
15,20412
16,18723
17,17494
18,16232
19,15303
20,14254
21,13708
22,12838
23,12219
24,11348
25,10749
26,10180
27,9650
28,9437
29,8777
30,8374
31,8120
32,7590
33,7408
34,7088
35,6314
36,5949
37,5525
38,5240
39,4877
40,4515
41,4120
42,3820
43,3521
44,3269
45,3079
46,2812
47,2670
48,2484
49,2244
50,2099
51,1935
52,1830
53,1674
54,1466
55,1422
56,1364
57,1259
58,1095
59,1110
60,959
61,911
62,800
63,726
64,656
65,611
66,583
67,581
68,501
69,449
70,415
71,418
72,374
73,335
74,338
75,299
76,253
77,246
78,234
79,194
80,190
81,190
82,183
83,150
84,149
85,135
86,121
87,116
88,100
89,101
90,88
91,70
92,81
93,76
94,68
95,68
96,58
97,63
98,44
99,54
100,44
101,52
102,38
103,38
104,43
105,46
106,24
107,29
108,35
109,33
110,36
111,27
112,16
113,20
114,27
115,22
116,30
117,28
118,14
119,17
120,18
121,21
122,16
123,15
124,18
125,19
126,16
127,21
128,15
129,17
130,21
131,17
132,20
133,17
134,10
135,18
136,15
137,15
138,17
139,22
140,15
141,12
142,5
143,15
144,12
145,18
146,15
147,11
148,14
149,18
150,16
151,24
152,11
153,14
154,12
155,16
156,14
157,17
158,10
159,8
160,9
161,8
162,14
163,10
164,9
165,16
166,17
167,15
168,17
169,15
170,11
171,11
172,3
173,5
174,10
175,11
176,10
177,11
178,13
179,13
180,11
181,9
182,14
183,13
184,10
185,9
186,9
187,14
188,8
189,11
190,6
191,20
192,9
193,6
194,13
195,9
196,7
197,11
198,13
199,15
200,17
201,11
202,3
203,7
204,6
205,9
206,16
207,6
208,11
209,9
210,10
211,15
212,10
213,7
214,10
215,8
216,9
217,7
218,12
219,7
220,8
221,9
222,8
223,11
224,11
225,5
226,6
227,6
228,13
229,7
230,11
231,6
232,6
233,5
234,15
235,7
236,10
237,14
238,8
239,6
240,10
241,8
242,12
243,7
244,15
245,7
246,5
247,5
248,11
249,6
250,7
251,7
252,5
253,16
254,11
255,13
256,11
257,11
258,13
259,5
260,7
261,12
262,10
263,11
264,11
265,8
266,7
267,11
268,8
269,7
270,8
271,5
272,13
273,9
274,8
275,11
276,3
277,7
278,11
279,13
280,6
281,7
282,7
283,8
284,9
285,8
286,5
287,7
288,6
289,9
290,14
291,10
292,13
293,10
294,4
295,12
296,11
297,8
298,11
299,13
300,9
301,7
302,10
303,12
304,3
305,4
306,4
307,3
308,10
309,8
310,8
311,11
312,5
313,6
314,5
315,10
316,7
317,6
318,6
319,6
320,11
321,6
322,10
323,11
324,4
325,9
326,10
327,11
328,10
329,6
330,8
331,4
332,7
333,8
334,11
335,7
336,13
337,9
338,10
339,12
340,10
341,7
342,10
343,9
344,7
345,9
346,5
347,15
348,10
349,10
350,10
351,16
352,10
353,11
354,9
355,5
356,11
357,7
358,18
359,14
360,12
361,19
362,8
363,12
364,15
365,13
366,17
367,19
368,18
369,10
370,13
371,25
372,28
373,23
374,32
375,33
376,17
377,22
378,28
379,27
380,29
381,25
382,25
383,38
384,34
385,31
386,36
387,36
388,37
389,30
390,36
391,32
392,26
393,47
394,24
395,40
396,31
397,14
398,22
399,15
400,18
401,14
402,9
403,10
404,8
405,5
406,8
407,5
408,5
409,7
410,5
411,9
412,10
413,7
414,5
415,3
416,5
417,10
418,11
419,7
420,5
421,5
422,4
423,8
424,6
425,6
426,2
427,9
428,3
429,7
430,3
431,7
432,10
433,6
434,5
435,8
436,5
437,10
438,4
439,5
440,6
441,5
442,9
443,6
444,7
445,8
446,4
447,5
448,8
449,8
450,3
451,6
452,9
453,3
454,5
455,5
456,6
457,5
458,6
459,6
460,3
461,5
462,4
463,5
464,4
465,4
466,8
467,2
468,7
469,2
470,7
471,4
472,8
473,3
474,6
475,3
476,3
477,5
478,6
479,3
480,7
481,3
482,5
483,4
484,2
485,6
486,7
487,6
488,2
489,2
490,3
491,8
492,4
493,4
494,4
495,2
496,12
497,8
498,6
499,4
500,13
501,9
502,5
503,3
504,4
505,4
506,6
507,5
508,3
509,5
510,9
511,5
