channel,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,7424
11,10094
12,9117
13,8453
14,7696
15,6940
16,6459
17,6090
18,5703
19,5443
20,5002
21,4673
22,4525
23,4320
24,3981
25,3884
26,3664
27,3501
28,3292
29,3074
30,2940
31,2847
32,2685
33,2615
34,2424
35,2292
36,2123
37,1930
38,1831
39,1688
40,1555
41,1465
42,1288
43,1241
44,1157
45,1023
46,1015
47,923
48,844
49,774
50,751
51,651
52,668
53,568
54,558
55,541
56,575
57,461
58,474
59,371
60,409
61,365
62,311
63,314
64,263
65,263
66,233
67,248
68,202
69,206
70,203
71,152
72,170
73,166
74,171
75,139
76,136
77,144
78,108
79,140
80,106
81,119
82,90
83,107
84,85
85,90
86,84
87,96
88,85
89,70
90,73
91,91
92,73
93,62
94,66
95,70
96,68
97,66
98,73
99,75
100,65
101,63
102,69
103,59
104,42
105,55
106,44
107,43
108,53
109,39
110,52
111,50
112,48
113,49
114,47
115,47
116,38
117,58
118,48
119,53
120,40
121,45
122,37
123,41
124,35
125,43
126,37
127,30
128,24
129,52
130,38
131,40
132,43
133,43
134,43
135,28
136,40
137,44
138,29
139,47
140,31
141,30
142,37
143,37
144,27
145,40
146,40
147,29
148,35
149,27
150,31
151,33
152,38
153,32
154,33
155,41
156,44
157,39
158,43
159,33
160,43
161,23
162,35
163,53
164,35
165,34
166,35
167,25
168,39
169,53
170,33
171,31
172,37
173,29
174,32
175,37
176,30
177,29
178,35
179,27
180,27
181,38
182,36
183,30
184,35
185,29
186,32
187,28
188,26
189,38
190,27
191,35
192,26
193,23
194,26
195,34
196,24
197,37
198,28
199,28
200,30
201,34
202,33
203,19
204,32
205,25
206,24
207,33
208,25
209,26
210,22
211,26
212,17
213,25
214,31
215,29
216,30
217,25
218,26
219,32
220,26
221,19
222,23
223,25
224,21
225,21
226,24
227,33
228,24
229,23
230,23
231,19
232,27
233,27
234,22
235,30
236,20
237,20
238,27
239,33
240,23
241,18
242,31
243,23
244,26
245,24
246,32
247,23
248,29
249,22
250,21
251,24
252,24
253,15
254,28
255,21
256,18
257,24
258,23
259,24
260,28
261,24
262,28
263,23
264,18
265,23
266,27
267,22
268,13
269,24
270,14
271,25
272,21
273,22
274,21
275,28
276,26
277,28
278,25
279,22
280,21
281,25
282,27
283,24
284,24
285,31
286,22
287,17
288,19
289,20
290,26
291,20
292,30
293,22
294,22
295,25
296,19
297,20
298,31
299,20
300,22
301,22
302,14
303,20
304,20
305,15
306,25
307,22
308,18
309,22
310,20
311,24
312,29
313,16
314,22
315,18
316,16
317,22
318,27
319,24
320,13
321,21
322,13
323,22
324,20
325,22
326,21
327,24
328,16
329,18
330,22
331,19
332,24
333,23
334,17
335,23
336,16
337,14
338,17
339,17
340,6
341,18
342,17
343,18
344,16
345,18
346,18
347,18
348,29
349,25
350,15
351,11
352,20
353,26
354,14
355,11
356,23
357,16
358,21
359,11
360,25
361,17
362,14
363,21
364,15
365,16
366,11
367,22
368,18
369,18
370,11
371,15
372,27
373,18
374,27
375,26
376,25
377,17
378,28
379,39
380,17
381,22
382,28
383,29
384,29
385,28
386,31
387,21
388,35
389,22
390,33
391,41
392,34
393,29
394,30
395,33
396,39
397,29
398,29
399,34
400,31
401,33
402,23
403,24
404,25
405,25
406,22
407,27
408,18
409,18
410,25
411,15
412,8
413,18
414,18
415,12
416,11
417,14
418,14
419,15
420,16
421,14
422,14
423,13
424,14
425,22
426,19
427,16
428,13
429,18
430,21
431,10
432,23
433,25
434,16
435,10
436,14
437,12
438,8
439,21
440,15
441,10
442,18
443,11
444,8
445,11
446,18
447,16
448,9
449,10
450,14
451,12
452,16
453,10
454,7
455,12
456,12
457,12
458,5
459,12
460,9
461,15
462,13
463,16
464,15
465,14
466,15
467,11
468,11
469,10
470,4
471,15
472,9
473,12
474,12
475,13
476,13
477,10
478,18
479,9
480,21
481,10
482,9
483,11
484,12
485,13
486,11
487,7
488,8
489,12
490,6
491,15
492,8
493,11
494,15
495,13
496,8
497,12
498,19
499,8
500,11
501,12
502,14
503,15
504,14
505,13
506,10
507,12
508,13
509,11
510,12
511,9
