channel,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1272
11,1686
12,1464
13,1273
14,1187
15,1002
16,962
17,907
18,858
19,764
20,684
21,644
22,634
23,527
24,570
25,469
26,491
27,429
28,449
29,385
30,393
31,368
32,361
33,313
34,281
35,261
36,252
37,215
38,199
39,179
40,163
41,160
42,142
43,147
44,142
45,127
46,125
47,86
48,107
49,110
50,90
51,77
52,62
53,70
54,64
55,63
56,60
57,59
58,45
59,45
60,42
61,45
62,44
63,42
64,44
65,35
66,36
67,25
68,23
69,27
70,26
71,20
72,21
73,27
74,31
75,20
76,14
77,20
78,28
79,24
80,12
81,26
82,24
83,21
84,20
85,22
86,14
87,23
88,19
89,12
90,13
91,15
92,13
93,20
94,12
95,11
96,20
97,25
98,15
99,12
100,13
101,17
102,10
103,20
104,12
105,14
106,8
107,16
108,11
109,15
110,7
111,20
112,15
113,11
114,9
115,16
116,11
117,15
118,14
119,10
120,13
121,11
122,20
123,21
124,9
125,14
126,7
127,17
128,7
129,10
130,14
131,10
132,14
133,10
134,10
135,12
136,4
137,17
138,10
139,8
140,19
141,13
142,11
143,12
144,8
145,7
146,13
147,13
148,10
149,10
150,9
151,16
152,9
153,7
154,19
155,8
156,13
157,8
158,13
159,9
160,12
161,7
162,8
163,16
164,8
165,16
166,11
167,11
168,5
169,10
170,12
171,10
172,7
173,5
174,14
175,5
176,12
177,12
178,7
179,9
180,11
181,7
182,6
183,11
184,11
185,8
186,7
187,7
188,5
189,12
190,11
191,16
192,9
193,10
194,11
195,10
196,13
197,11
198,8
199,6
200,8
201,4
202,7
203,9
204,9
205,11
206,5
207,7
208,7
209,10
210,6
211,6
212,9
213,8
214,9
215,8
216,7
217,8
218,9
219,12
220,11
221,8
222,6
223,15
224,5
225,4
226,8
227,9
228,2
229,10
230,12
231,6
232,6
233,11
234,7
235,9
236,6
237,9
238,5
239,8
240,8
241,11
242,8
243,5
244,9
245,10
246,12
247,6
248,11
249,8
250,15
251,10
252,6
253,6
254,7
255,9
256,7
257,10
258,7
259,12
260,9
261,10
262,8
263,3
264,6
265,7
266,10
267,10
268,9
269,4
270,9
271,4
272,4
273,8
274,7
275,11
276,5
277,7
278,9
279,9
280,5
281,5
282,13
283,10
284,5
285,9
286,9
287,5
288,11
289,13
290,5
291,5
292,6
293,2
294,7
295,5
296,5
297,7
298,12
299,5
300,7
301,7
302,7
303,4
304,9
305,9
306,6
307,6
308,11
309,5
310,5
311,10
312,9
313,12
314,9
315,6
316,5
317,7
318,6
319,11
320,9
321,10
322,8
323,10
324,10
325,9
326,6
327,11
328,9
329,5
330,10
331,7
332,10
333,8
334,6
335,5
336,12
337,5
338,4
339,7
340,11
341,5
342,5
343,10
344,9
345,10
346,7
347,13
348,12
349,9
350,13
351,4
352,9
353,10
354,12
355,8
356,12
357,11
358,7
359,13
360,13
361,20
362,12
363,17
364,20
365,10
366,14
367,18
368,23
369,17
370,26
371,17
372,27
373,19
374,20
375,17
376,21
377,29
378,29
379,24
380,25
381,35
382,30
383,28
384,27
385,32
386,36
387,32
388,30
389,35
390,23
391,21
392,26
393,25
394,19
395,23
396,9
397,16
398,15
399,6
400,4
401,11
402,3
403,4
404,6
405,9
406,7
407,6
408,9
409,7
410,7
411,5
412,4
413,3
414,3
415,3
416,4
417,5
418,6
419,4
420,5
421,5
422,13
423,2
424,3
425,1
426,8
427,1
428,6
429,6
430,6
431,4
432,6
433,3
434,5
435,3
436,5
437,2
438,8
439,3
440,5
441,2
442,5
443,3
444,9
445,3
446,1
447,3
448,4
449,2
450,3
451,3
452,6
453,4
454,5
455,1
456,8
457,5
458,3
459,6
460,4
461,4
462,2
463,5
464,3
465,6
466,5
467,2
468,3
469,7
470,4
471,11
472,4
473,3
474,4
475,5
476,4
477,1
478,5
479,4
480,2
481,4
482,5
483,3
484,3
485,4
486,4
487,4
488,5
489,4
490,5
491,3
492,4
493,5
494,6
495,4
496,4
497,7
498,1
499,4
500,3
501,4
502,3
503,5
504,2
505,4
506,2
507,4
508,4
509,2
510,3
511,3
