旧名,現ファイル,開始時刻,計測時間,備考
20260818_1552_管理棟2F.mca,20260818_1552_管理棟2階_D1.mca,2026-08-18 15:30:09,1335.4 s（22.3 min）,
20260818_1730_linac.mca,20260818_1730_linac_D1.mca,2026-08-18 16:19:46,4208.9 s（1.17 h）,
管理棟2階_0819.mca,20260819_0832_管理棟2階_D1.mca,2026-08-18 18:00:44,52247.0 s（14.51 h）,D1 終夜
管理棟1階_0819.mca,20260819_1344_管理棟1階_D1.mca,2026-08-19 08:52:40,17482.3 s（4.86 h）,
0819放射線棟2階d1.mca,20260819_1520_管理棟2階_d1.mca,2026-08-18 17:59:38,76826.2 s（21.34 h）,場所の誤記。管理棟2階・d1。ポリエチレンの緩衝材なし
D1＿地上_0819.mca,20260819_1530_地上_D1.mca,2026-08-19 14:11:03,4748.1 s（1.32 h）,
D1_20260819_BT.mca,20260819_1854_放射線棟BT_D1.mca,2026-08-19 16:13:59,9583.9 s（2.66 h）,
0819放射線BTd2.mca,20260819_1859_放射線棟BT_d2.mca,2026-08-19 16:20:15,9540.5 s（2.65 h）,d2。管理棟の D1 ではない
D1_20260820_PF.mca,20260820_0807_PF_D1.mca,2026-08-19 19:25:06,45702.8 s（12.70 h）,PF 終夜
d2_20260820_PF.mca,20260820_0807_PF_d2.mca,2026-08-19 19:24:52,45746.3 s（12.71 h）,PF 終夜
D1_20260820_KEKB.mca,20260820_1939_KEKB_D1.mca,2026-08-20 08:48:21,39007.5 s（10.84 h）,
d2_20260820_KEKB.mca,20260820_1939_KEKB_d2.mca,2026-08-20 08:48:23,39037.9 s（10.84 h）,
D2_20260821_Linac.mca,20260821_080728_linac_D2.mca,2026-08-20 20:16:48,42577.5 s（11.83 h）,終了 08:07:28。D2/d2 衝突回避のため秒付き
d2_202608210809_linac.mca,20260821_080725_linac_d2.mca,2026-08-20 20:16:58,41897.1 s（11.64 h）,終了 08:07:25。旧名は 0809
D2_202608211703_linacIRON.mca,20260821_170217_linacIRON_D2.mca,2026-08-21 08:27:11,30863.5 s（8.57 h）,鉄遮蔽。D2/d2 衝突回避のため秒付き
d2_202608211704_LinacIRON.mca,20260821_170219_linacIRON_d2.mca,2026-08-21 08:27:14,30086.8 s（8.36 h）,鉄遮蔽。D2/d2 衝突回避のため秒付き
D2_20260822_PF.mca,20260822_115234_PF_D2.mca,2026-08-21 18:23:36,62847.9 s（17.46 h）,PF 終夜。D2/d2 衝突回避のため秒付き
smalld2_20260822_PF.mca,20260822_115232_PF_d2.mca,2026-08-21 18:23:24,61368.5 s（17.05 h）,旧名 smalld2。PF 終夜。D2/d2 衝突回避のため秒付き
D2_20260822_地上.mca,D2_20260822_地上.mca,2026-08-22 12:25:33,12302.0 s（3.42 h）,8/22 地上。D2（SN 1715）。終了 15:50
smalld2_20260822＿地上.mca,smalld2_20260822＿地上.mca,2026-08-22 12:25:32,12104.8 s（3.36 h）,旧名 smalld2。d2。終了 15:47
