channel,counts
0,203578
1,921
2,708
3,586
4,494
5,509
6,522
7,532
8,570
9,528
10,569
11,516
12,488
13,456
14,493
15,502
16,509
17,481
18,465
19,507
20,496
21,520
22,534
23,606
24,521
25,563
26,623
27,601
28,611
29,618
30,649
31,721
32,729
33,778
34,899
35,911
36,953
37,977
38,910
39,905
40,965
41,869
42,964
43,891
44,905
45,850
46,864
47,851
48,852
49,806
50,789
51,785
52,801
53,805
54,792
55,744
56,724
57,683
58,753
59,724
60,710
61,702
62,724
63,711
64,665
65,657
66,673
67,714
68,672
69,687
70,647
71,633
72,644
73,610
74,640
75,690
76,643
77,647
78,709
79,698
80,742
81,774
82,751
83,807
84,816
85,851
86,881
87,881
88,1001
89,1046
90,1012
91,1135
92,1234
93,1291
94,1373
95,1496
96,1615
97,1763
98,1842
99,1872
100,2150
101,2256
102,2416
103,2531
104,2794
105,2972
106,3320
107,3412
108,3647
109,3931
110,4169
111,4285
112,4488
113,4444
114,4781
115,5086
116,5372
117,5861
118,6422
119,6819
120,7325
121,7874
122,8703
123,8941
124,8855
125,8624
126,8139
127,6787
128,5758
129,4432
130,3175
131,2396
132,1731
133,1418
134,1202
135,1069
136,936
137,860
138,756
139,706
140,643
141,580
142,609
143,526
144,537
145,496
146,470
147,489
148,506
149,476
150,473
151,491
152,443
153,474
154,446
155,461
156,449
157,465
158,475
159,440
160,476
161,442
162,452
163,479
164,437
165,400
166,414
167,390
168,395
169,393
170,366
171,393
172,359
173,349
174,329
175,357
176,345
177,314
178,327
179,290
180,298
181,279
182,262
183,258
184,281
185,242
186,218
187,204
188,197
189,172
190,168
191,154
192,152
193,138
194,166
195,135
196,137
197,131
198,126
199,117
200,141
201,151
202,141
203,149
204,128
205,137
206,155
207,131
208,130
209,146
210,158
211,173
212,165
213,151
214,182
215,137
216,159
217,149
218,137
219,145
220,175
221,154
222,172
223,161
224,166
225,148
226,161
227,176
228,147
229,156
230,177
231,161
232,172
233,168
234,145
235,165
236,143
237,169
238,160
239,159
240,142
241,138
242,160
243,138
244,150
245,127
246,97
247,101
248,94
249,83
250,84
251,77
252,60
253,60
254,41
255,47
256,31
257,50
258,32
259,48
260,28
261,39
262,38
263,16
264,27
265,21
266,18
267,25
268,21
269,19
270,24
271,32
272,29
273,23
274,25
275,27
276,19
277,24
278,17
279,22
280,27
281,19
282,30
283,22
284,19
285,19
286,12
287,20
288,19
289,21
290,21
291,7
292,16
293,17
294,6
295,15
296,16
297,8
298,11
299,14
300,13
301,11
302,8
303,8
304,8
305,10
306,14
307,9
308,7
309,7
310,7
311,6
312,12
313,4
314,4
315,2
316,7
317,4
318,8
319,4
320,4
321,2
322,4
323,2
324,5
325,1
326,6
327,8
328,4
329,9
330,8
331,5
332,2
333,2
334,4
335,2
336,2
337,1
338,7
339,5
340,5
341,3
342,3
343,2
344,5
345,4
346,2
347,3
348,5
349,4
350,1
351,7
352,3
353,5
354,1
355,5
356,3
357,2
358,0
359,0
360,1
361,2
362,1
363,2
364,1
365,1
366,1
367,0
368,1
369,3
370,0
371,2
372,0
373,2
374,1
375,1
376,2
377,1
378,2
379,0
380,1
381,1
382,1
383,3
384,2
385,1
386,1
387,0
388,1
389,0
390,0
391,0
392,0
393,2
394,0
395,1
396,0
397,0
398,2
399,0
400,0
401,0
402,0
403,0
404,1
405,0
406,1
407,0
408,0
409,0
410,1
411,1
412,0
413,0
414,1
415,1
416,1
417,0
418,1
419,0
420,0
421,0
422,0
423,1
424,0
425,1
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,1
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,1
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,1
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,1
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,1
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,1
505,0
506,0
507,0
508,0
509,0
510,0
511,0
