channel,counts
0,55059
1,41
2,16
3,25
4,17
5,665
6,930
7,824
8,640
9,557
10,533
11,533
12,676
13,433
14,410
15,372
16,392
17,377
18,403
19,400
20,342
21,345
22,335
23,297
24,262
25,209
26,185
27,152
28,122
29,75
30,99
31,73
32,78
33,73
34,71
35,58
36,64
37,37
38,43
39,51
40,45
41,34
42,32
43,34
44,42
45,27
46,28
47,26
48,30
49,22
50,31
51,23
52,23
53,27
54,32
55,20
56,18
57,20
58,15
59,17
60,17
61,18
62,20
63,13
64,23
65,12
66,21
67,12
68,10
69,14
70,23
71,8
72,16
73,13
74,20
75,14
76,20
77,14
78,12
79,22
80,18
81,22
82,15
83,14
84,14
85,19
86,17
87,16
88,25
89,23
90,20
91,25
92,25
93,28
94,33
95,33
96,51
97,65
98,62
99,68
100,84
101,65
102,68
103,77
104,75
105,87
106,68
107,85
108,62
109,78
110,78
111,78
112,78
113,58
114,87
115,87
116,66
117,71
118,74
119,78
120,83
121,76
122,68
123,81
124,69
125,62
126,80
127,62
128,57
129,56
130,70
131,62
132,72
133,70
134,59
135,68
136,63
137,65
138,69
139,72
140,69
141,66
142,52
143,57
144,75
145,65
146,64
147,59
148,58
149,52
150,78
151,71
152,60
153,77
154,67
155,69
156,55
157,74
158,71
159,60
160,57
161,49
162,58
163,61
164,59
165,66
166,52
167,71
168,51
169,62
170,58
171,63
172,60
173,49
174,60
175,54
176,63
177,50
178,51
179,44
180,57
181,60
182,55
183,54
184,47
185,57
186,59
187,52
188,50
189,45
190,53
191,56
192,51
193,61
194,52
195,39
196,39
197,54
198,62
199,62
200,50
201,42
202,51
203,41
204,49
205,50
206,57
207,38
208,47
209,51
210,55
211,45
212,35
213,37
214,48
215,40
216,54
217,41
218,47
219,44
220,51
221,47
222,59
223,52
224,45
225,48
226,56
227,35
228,40
229,46
230,39
231,45
232,44
233,51
234,42
235,54
236,37
237,43
238,43
239,37
240,41
241,37
242,47
243,36
244,42
245,34
246,41
247,41
248,46
249,42
250,37
251,40
252,54
253,43
254,55
255,40
256,32
257,34
258,45
259,38
260,48
261,28
262,47
263,25
264,42
265,52
266,52
267,47
268,37
269,26
270,35
271,35
272,42
273,42
274,40
275,38
276,30
277,32
278,37
279,46
280,40
281,46
282,49
283,43
284,33
285,27
286,36
287,48
288,44
289,40
290,47
291,55
292,65
293,54
294,55
295,56
296,61
297,60
298,65
299,54
300,66
301,63
302,57
303,74
304,64
305,62
306,81
307,60
308,65
309,59
310,78
311,66
312,94
313,72
314,71
315,74
316,82
317,84
318,76
319,80
320,92
321,83
322,82
323,79
324,87
325,91
326,95
327,92
328,103
329,88
330,119
331,113
332,93
333,102
334,116
335,107
336,129
337,114
338,112
339,127
340,110
341,126
342,106
343,142
344,128
345,145
346,135
347,131
348,165
349,150
350,164
351,165
352,170
353,169
354,206
355,191
356,215
357,235
358,215
359,276
360,288
361,295
362,377
363,424
364,461
365,487
366,503
367,585
368,633
369,696
370,760
371,855
372,948
373,967
374,1079
375,1150
376,1128
377,1216
378,1255
379,1364
380,1380
381,1491
382,1537
383,1586
384,1646
385,1598
386,1649
387,1628
388,1605
389,1478
390,1488
391,1311
392,1310
393,1239
394,1179
395,1009
396,988
397,811
398,732
399,577
400,501
401,416
402,393
403,281
404,244
405,228
406,224
407,194
408,190
409,177
410,150
411,173
412,142
413,153
414,161
415,156
416,142
417,106
418,103
419,127
420,126
421,116
422,99
423,90
424,106
425,77
426,85
427,90
428,87
429,67
430,80
431,67
432,67
433,54
434,50
435,69
436,55
437,47
438,49
439,47
440,59
441,38
442,37
443,39
444,40
445,31
446,50
447,41
448,33
449,28
450,37
451,35
452,41
453,36
454,38
455,41
456,30
457,35
458,44
459,32
460,24
461,32
462,46
463,34
464,37
465,44
466,40
467,32
468,32
469,35
470,25
471,44
472,36
473,29
474,31
475,45
476,31
477,34
478,32
479,24
480,33
481,29
482,25
483,25
484,21
485,37
486,42
487,24
488,32
489,27
490,40
491,31
492,41
493,34
494,28
495,42
496,39
497,45
498,45
499,33
500,35
501,32
502,39
503,34
504,38
505,31
506,35
507,24
508,37
509,35
510,31
511,25
