channel,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,107
11,126
12,132
13,118
14,106
15,112
16,99
17,126
18,121
19,112
20,118
21,108
22,115
23,119
24,85
25,68
26,63
27,49
28,29
29,29
30,28
31,33
32,27
33,27
34,26
35,25
36,15
37,12
38,21
39,8
40,13
41,15
42,10
43,14
44,11
45,12
46,8
47,13
48,11
49,8
50,9
51,13
52,3
53,10
54,5
55,4
56,7
57,7
58,6
59,6
60,5
61,7
62,6
63,4
64,6
65,12
66,7
67,7
68,5
69,12
70,2
71,6
72,9
73,6
74,5
75,5
76,7
77,9
78,5
79,5
80,13
81,7
82,8
83,5
84,4
85,6
86,5
87,9
88,6
89,4
90,7
91,9
92,7
93,13
94,25
95,21
96,17
97,25
98,34
99,22
100,35
101,25
102,29
103,24
104,26
105,30
106,26
107,33
108,23
109,27
110,30
111,31
112,23
113,32
114,25
115,24
116,18
117,30
118,28
119,15
120,29
121,23
122,20
123,26
124,25
125,28
126,13
127,22
128,18
129,18
130,28
131,31
132,30
133,29
134,26
135,14
136,28
137,19
138,14
139,18
140,29
141,22
142,30
143,24
144,21
145,14
146,25
147,18
148,22
149,20
150,26
151,21
152,27
153,19
154,28
155,20
156,25
157,14
158,20
159,27
160,23
161,22
162,16
163,21
164,15
165,22
166,20
167,16
168,15
169,21
170,16
171,25
172,22
173,19
174,18
175,17
176,22
177,20
178,13
179,14
180,29
181,18
182,17
183,18
184,22
185,23
186,17
187,25
188,18
189,19
190,19
191,17
192,17
193,24
194,17
195,18
196,17
197,17
198,9
199,14
200,13
201,15
202,16
203,9
204,9
205,17
206,11
207,17
208,21
209,13
210,22
211,25
212,15
213,16
214,23
215,24
216,14
217,14
218,14
219,17
220,12
221,16
222,18
223,12
224,20
225,22
226,16
227,12
228,24
229,18
230,23
231,18
232,15
233,23
234,21
235,13
236,16
237,24
238,18
239,15
240,14
241,14
242,16
243,12
244,19
245,17
246,20
247,17
248,15
249,21
250,15
251,21
252,22
253,23
254,13
255,16
256,21
257,15
258,12
259,11
260,20
261,20
262,20
263,17
264,25
265,20
266,16
267,18
268,15
269,16
270,24
271,21
272,20
273,17
274,21
275,20
276,19
277,29
278,14
279,22
280,19
281,21
282,21
283,25
284,20
285,22
286,16
287,33
288,28
289,24
290,24
291,36
292,28
293,31
294,31
295,21
296,32
297,31
298,25
299,28
300,22
301,31
302,25
303,32
304,26
305,32
306,23
307,28
308,31
309,28
310,29
311,38
312,28
313,39
314,32
315,35
316,29
317,21
318,35
319,40
320,32
321,31
322,39
323,30
324,34
325,35
326,37
327,34
328,36
329,34
330,46
331,45
332,33
333,48
334,40
335,48
336,36
337,40
338,43
339,42
340,48
341,52
342,46
343,63
344,47
345,65
346,61
347,68
348,68
349,75
350,102
351,100
352,99
353,99
354,98
355,134
356,118
357,141
358,138
359,174
360,192
361,189
362,208
363,241
364,238
365,258
366,273
367,290
368,364
369,376
370,340
371,375
372,385
373,388
374,420
375,430
376,447
377,494
378,485
379,482
380,458
381,504
382,536
383,492
384,460
385,454
386,440
387,416
388,411
389,347
390,310
391,287
392,220
393,174
394,115
395,87
396,79
397,50
398,26
399,11
400,8
401,2
402,2
403,1
404,0
405,0
406,0
407,0
408,0
409,0
410,1
411,1
412,0
413,0
414,1
415,1
416,0
417,0
418,0
419,1
420,0
421,0
422,3
423,1
424,0
425,1
426,0
427,1
428,1
429,1
430,1
431,0
432,0
433,0
434,1
435,0
436,0
437,1
438,0
439,0
440,0
441,0
442,0
443,1
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,1
452,1
453,0
454,1
455,0
456,0
457,0
458,1
459,0
460,1
461,0
462,0
463,0
464,1
465,1
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,1
481,0
482,0
483,0
484,0
485,0
486,0
487,1
488,0
489,0
490,0
491,0
492,0
493,1
494,0
495,0
496,0
497,1
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,1
508,0
509,0
510,1
511,0
