channel,counts
0,555620
1,46
2,22
3,15
4,13
5,59628
6,81168
7,62215
8,42414
9,30896
10,24850
11,21423
12,18771
13,16688
14,15200
15,13736
16,12714
17,11430
18,10601
19,10034
20,9280
21,8681
22,8067
23,7456
24,7112
25,6757
26,6451
27,6152
28,5683
29,5304
30,5170
31,4734
32,4587
33,4113
34,3704
35,3400
36,3187
37,2843
38,2702
39,2339
40,2261
41,2085
42,1839
43,1682
44,1491
45,1483
46,1308
47,1231
48,1052
49,984
50,901
51,818
52,759
53,723
54,627
55,587
56,492
57,461
58,413
59,403
60,385
61,338
62,285
63,281
64,273
65,238
66,194
67,160
68,169
69,164
70,137
71,146
72,98
73,116
74,85
75,99
76,93
77,68
78,77
79,59
80,67
81,58
82,41
83,40
84,44
85,34
86,36
87,49
88,34
89,35
90,32
91,30
92,33
93,24
94,20
95,36
96,28
97,20
98,17
99,18
100,26
101,17
102,12
103,16
104,24
105,12
106,19
107,16
108,12
109,15
110,19
111,17
112,15
113,16
114,15
115,14
116,10
117,14
118,11
119,13
120,7
121,18
122,7
123,15
124,8
125,19
126,13
127,8
128,13
129,15
130,14
131,11
132,12
133,11
134,8
135,11
136,10
137,10
138,13
139,16
140,11
141,14
142,20
143,9
144,12
145,10
146,10
147,12
148,10
149,8
150,11
151,10
152,13
153,14
154,12
155,5
156,5
157,9
158,11
159,7
160,12
161,10
162,13
163,13
164,21
165,6
166,11
167,8
168,8
169,11
170,12
171,9
172,10
173,16
174,7
175,9
176,9
177,3
178,11
179,7
180,11
181,8
182,10
183,8
184,8
185,8
186,10
187,7
188,4
189,7
190,8
191,13
192,13
193,9
194,8
195,13
196,10
197,8
198,11
199,11
200,5
201,3
202,4
203,8
204,1
205,6
206,9
207,11
208,7
209,9
210,8
211,3
212,7
213,14
214,10
215,8
216,7
217,5
218,7
219,11
220,5
221,4
222,7
223,8
224,7
225,6
226,6
227,8
228,8
229,7
230,6
231,7
232,7
233,8
234,8
235,5
236,6
237,7
238,4
239,11
240,5
241,4
242,5
243,7
244,7
245,7
246,5
247,6
248,8
249,9
250,6
251,2
252,9
253,7
254,5
255,12
256,14
257,11
258,8
259,10
260,11
261,8
262,12
263,9
264,14
265,13
266,12
267,8
268,16
269,12
270,22
271,8
272,12
273,12
274,15
275,14
276,9
277,7
278,6
279,12
280,12
281,10
282,12
283,12
284,12
285,12
286,13
287,13
288,7
289,13
290,8
291,13
292,15
293,18
294,11
295,10
296,13
297,11
298,10
299,4
300,13
301,14
302,13
303,8
304,15
305,12
306,17
307,11
308,12
309,8
310,9
311,19
312,13
313,20
314,17
315,20
316,23
317,28
318,36
319,40
320,43
321,57
322,56
323,69
324,75
325,76
326,97
327,119
328,125
329,127
330,174
331,169
332,202
333,184
334,229
335,254
336,297
337,328
338,311
339,278
340,332
341,317
342,321
343,293
344,296
345,300
346,284
347,244
348,268
349,228
350,200
351,180
352,146
353,117
354,77
355,62
356,66
357,56
358,38
359,57
360,26
361,37
362,40
363,36
364,42
365,36
366,25
367,27
368,34
369,36
370,26
371,18
372,20
373,29
374,15
375,18
376,18
377,10
378,20
379,11
380,10
381,8
382,9
383,10
384,10
385,12
386,5
387,11
388,7
389,5
390,7
391,4
392,3
393,8
394,11
395,8
396,6
397,4
398,5
399,6
400,4
401,9
402,4
403,7
404,9
405,4
406,6
407,4
408,4
409,2
410,5
411,4
412,4
413,6
414,3
415,7
416,5
417,3
418,5
419,5
420,6
421,7
422,2
423,5
424,1
425,10
426,4
427,5
428,4
429,4
430,7
431,4
432,4
433,6
434,6
435,5
436,7
437,2
438,8
439,3
440,3
441,1
442,8
443,5
444,7
445,7
446,9
447,6
448,9
449,4
450,10
451,8
452,6
453,5
454,5
455,5
456,0
457,4
458,1
459,10
460,7
461,7
462,8
463,11
464,3
465,10
466,6
467,3
468,6
469,6
470,3
471,3
472,2
473,3
474,5
475,6
476,5
477,3
478,4
479,2
480,7
481,4
482,2
483,5
484,3
485,7
486,6
487,4
488,7
489,10
490,5
491,6
492,8
493,5
494,3
495,5
496,5
497,2
498,2
499,1
500,6
501,3
502,2
503,5
504,1
505,0
506,5
507,0
508,1
509,1
510,1
511,1
